matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
0,1130,7790.0,3.7587031999992178,heavy,0.9589799000004859,7790.0,1447,2,0.042469299999538634,0.21770790000027773,7790.0,1978,4,0.029512899999645015,0.10096940000039467,7790.0,2684,8,0.0320358999997552
1,1132,8743.0,1.3355209000001196,heavy,0.472282599999744,8743.0,1374,2,0.016529100000298058,0.18457719999969413,8743.0,1779,4,0.02689769999960845,0.082006900000124,8743.0,2369,8,0.03670559999955003
2,1129,8178.0,1.3233503000001292,heavy,0.49162799999976414,8178.0,1421,2,0.015317499999582651,0.19657349999943108,8178.0,1884,4,0.02582079999956477,0.08821519999946759,8178.0,2448,8,0.03412549999939074
3,1108,7950.0,1.2972010000003138,heavy,0.47894110000015644,7950.0,1371,2,0.014694100000269827,0.19934769999963464,7950.0,1822,4,0.025643299999501323,0.09167210000032355,7950.0,2452,8,0.0360184000001027
4,1109,8126.0,1.293526500000553,heavy,0.4728317999997671,8126.0,1365,2,0.017209500000717526,0.18932010000025912,8126.0,1754,4,0.026605200000631157,0.08648269999957847,8126.0,2311,8,0.034823799999685434
5,1131,8907.0,1.3401874000001044,heavy,0.5008081000005404,8907.0,1428,2,0.01788109999961307,0.20041929999933927,8907.0,1877,4,0.028015000000777945,0.08844940000017232,8907.0,2463,8,0.03787839999949938
6,1148,7901.0,1.3576253999999608,heavy,0.48645140000007814,7901.0,1416,2,0.016099999999823922,0.18669759999920643,7901.0,1818,4,0.02595489999930578,0.08793280000008963,7901.0,2456,8,0.03573640000013256
7,1181,8173.0,1.4256580999999642,heavy,0.5203953999998703,8173.0,1460,2,0.01654080000025715,0.2065102000005936,8173.0,1917,4,0.027950800000326126,0.09601310000016383,8173.0,2636,8,0.03543879999961064
8,1121,8178.0,1.327732400000059,heavy,0.49786049999966053,8178.0,1416,2,0.01594569999997475,0.1926855000001524,8178.0,1834,4,0.025717399999848567,0.08782419999988633,8178.0,2505,8,0.03375100000084785
9,1139,8759.0,1.349481399999604,heavy,0.49085289999948145,8759.0,1401,2,0.017383500000505592,0.19157170000016777,8759.0,1812,4,0.028252699999939068,0.08984659999987343,8759.0,2413,8,0.0368599000003087
10,1082,8005.0,1.2508504000006724,heavy,0.47828800000024785,8005.0,1376,2,0.015868200000113575,0.19386819999999716,8005.0,1835,4,0.026162800000747666,0.08447090000026947,8005.0,2362,8,0.03298300000005838
11,1119,8391.0,1.3204706999995324,heavy,0.4973337999999785,8391.0,1414,2,0.016608300000370946,0.20138589999987744,8391.0,1845,4,0.02692060000026686,0.08633259999987786,8391.0,2417,8,0.032959000000118976
12,1085,8245.0,1.2421879000003173,heavy,0.4655566999999792,8245.0,1358,2,0.016837199999827135,0.176994299999933,8245.0,1700,4,0.02622479999990901,0.07860280000022613,8245.0,2254,8,0.03458489999957237
13,1130,8055.0,1.3237222000007023,heavy,0.5092303000001266,8055.0,1444,2,0.016332199999851582,0.2061359999997876,8055.0,1925,4,0.02643389999957435,0.1593302000001131,8055.0,2607,8,0.03522479999992356
14,1127,7590.0,1.309397799999715,heavy,0.5341568000003463,7590.0,1495,2,0.014322699999866018,0.2197972000003574,7590.0,2022,4,0.02496800000062649,0.10222680000060791,7590.0,2832,8,0.03386719999980414
15,1114,8496.0,1.3036173999998937,heavy,0.49107679999997345,8496.0,1413,2,0.015690600000198174,0.19099290000031033,8496.0,1802,4,0.02554820000023028,0.08713619999980438,8496.0,2440,8,0.03129510000053415
16,1149,8113.0,1.358854899999642,heavy,0.478433700000096,8113.0,1378,2,0.016886999999769614,0.19586119999985385,8113.0,1820,4,0.027561099999729777,0.0861801999999443,8113.0,2437,8,0.03605440000046656
17,1128,8710.0,1.318224999999984,heavy,0.4830001000000266,8710.0,1381,2,0.016163799999958428,0.1869275999997626,8710.0,1764,4,0.027915399999983492,0.08322909999969852,8710.0,2328,8,0.03410399999938818
18,1148,8183.0,1.3622178999994503,heavy,0.5022950000002311,8183.0,1419,2,0.016776600000412145,0.19994299999962095,8183.0,1860,4,0.027297900000121444,0.0865457999998398,8183.0,2477,8,0.03464979999989737
19,1132,8277.0,1.3236400000005233,heavy,0.4978478000002724,8277.0,1420,2,0.016843999999764492,0.2003365999999005,8277.0,1886,4,0.027685699999892677,0.08897149999938847,8277.0,2491,8,0.03433320000021922
