matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,1130,7790.0,3.4695290999952704,heavy,0.9802418000763282,7790.0,1447,2,0.026326899998821318,0.2383583999471739,7790.0,1978,4,0.0317598000401631,0.13781600003130734,7790.0,2684,8,0.04071119998116046,0.06355369999073446,7790.0,3525,16,0.04984979995060712
1,1132,8743.0,1.3343540000496432,heavy,0.47968730004504323,8743.0,1374,2,0.01721780002117157,0.19578589999582618,8743.0,1779,4,0.03101470007095486,0.08987879997584969,8743.0,2369,8,0.04532669996842742,0.0575364000396803,8743.0,3175,16,0.05100149998907
2,1129,8178.0,1.3552260999567807,heavy,0.5011276999721304,8178.0,1421,2,0.015039899968542159,0.19980830000713468,8178.0,1884,4,0.028292899951338768,0.09026630001608282,8178.0,2448,8,0.04210280010011047,0.046595699968747795,8178.0,3243,16,0.04733730002772063
3,1108,7950.0,1.3140511000528932,heavy,0.48587219999171793,7950.0,1371,2,0.014984500012360513,0.20002430002205074,7950.0,1822,4,0.02958490001037717,0.0947167999111116,7950.0,2452,8,0.040886899922043085,0.04657550004776567,7950.0,3275,16,0.04602579993661493
4,1109,8126.0,1.2973953000037,heavy,0.4794060999993235,8126.0,1365,2,0.014944999944418669,0.18411410006228834,8126.0,1754,4,0.02793280000332743,0.08307029993738979,8126.0,2311,8,0.04228779999539256,0.0436091999290511,8126.0,3081,16,0.04811649990733713
5,1131,8907.0,1.3512047999538481,heavy,0.5033154999837279,8907.0,1428,2,0.01765480008907616,0.20337610004935414,8907.0,1877,4,0.032181199989281595,0.0893783998908475,8907.0,2463,8,0.04176629998255521,0.04693860001862049,8907.0,3287,16,0.05300479999277741
6,1148,7901.0,1.359133700025268,heavy,0.5172410999657586,7901.0,1416,2,0.015717400005087256,0.1957052000798285,7901.0,1818,4,0.028389599989168346,0.09053590008988976,7901.0,2456,8,0.03644639998674393,0.044442699989303946,7901.0,3226,16,0.048652400029823184
7,1181,8173.0,1.4965584999881685,heavy,0.525789099978283,8173.0,1460,2,0.016917299944907427,0.21013180003501475,8173.0,1917,4,0.03136549994815141,0.09501759998966008,8173.0,2636,8,0.03919859998859465,0.05091389990411699,8173.0,3413,16,0.050706999958492815
8,1121,8178.0,1.3461497999960557,heavy,0.4962093000067398,8178.0,1416,2,0.015648999949917197,0.20258740009739995,8178.0,1834,4,0.030062300036661327,0.09066959994379431,8178.0,2505,8,0.03979459998663515,0.04999329999554902,8178.0,3260,16,0.04620390001218766
9,1139,8759.0,1.3879717999370769,heavy,0.4997804000740871,8759.0,1401,2,0.018803399987518787,0.194753099931404,8759.0,1812,4,0.02847510005813092,0.0927025000564754,8759.0,2413,8,0.04236520000267774,0.06189869996160269,8759.0,3269,16,0.05061109992675483
