matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
0,236,346.0,2.195244300000013,heavy,0.4891023000000132,346.0,272,2,0.012544700000034936,0.013529500000004191,346.0,318,4,0.0041787999998632586,0.00688090000039665,346.0,336,8,0.0066413999993528705
1,151,521.0,0.03240249999998923,heavy,0.021304500000042026,521.0,225,2,0.0026189000000158558,0.014606300000195915,521.0,338,4,0.004581500000313099,0.008668500000567292,521.0,435,8,0.006849999999758438
2,182,532.0,0.03887659999963944,heavy,0.021734599999945203,532.0,242,2,0.0015435000004799804,0.013969800000268151,532.0,346,4,0.0034372999998595333,0.00897160000022268,532.0,454,8,0.0066062999994755955
3,192,647.0,0.04174609999972745,heavy,0.029481800000212388,647.0,309,2,0.0022667000002911664,0.018079099999340542,647.0,429,4,0.004789399999935995,0.010992199999236618,647.0,547,8,0.007553200000074867
4,147,653.0,0.03074830000059592,heavy,0.02067720000013651,653.0,224,2,0.002285399999891524,0.016483500000504137,653.0,358,4,0.004469200000130513,0.011901299999408366,653.0,535,8,0.007522400000198104
5,201,565.0,0.04376999999931286,heavy,0.027027000000089174,565.0,286,2,0.002180899999984831,0.019053400000302645,565.0,398,4,0.004972300000190444,0.010764500000732369,565.0,505,8,0.00749550000000454
6,186,487.0,0.040058200000203215,heavy,0.02499100000022736,487.0,272,2,0.0020686999996542,0.01565870000013092,487.0,367,4,0.004103999999642838,0.008883400000740949,487.0,442,8,0.0071378999991793535
7,262,314.0,0.057537499999853026,heavy,0.025354699999297736,314.0,279,2,0.0012175000001661829,0.012158499999713968,314.0,300,4,0.0036818999997194624,0.0061477999997805455,314.0,312,8,0.0070262999997794395
8,249,474.0,0.052414199999475386,heavy,0.026175400000283844,474.0,294,2,0.0013346999994610087,0.015341799999987416,474.0,367,4,0.003978799999458715,0.00875250000080996,474.0,435,8,0.006656300000031479
9,176,384.0,0.03643560000000434,heavy,0.01998280000043451,384.0,228,2,0.0012804999996660626,0.012422800000422285,384.0,301,4,0.0032753000004959176,0.007617899999786459,384.0,352,8,0.00746160000016971
10,242,491.0,0.05331999999998516,heavy,0.02863969999998517,491.0,313,2,0.0020503999994616606,0.016229100000600738,491.0,370,4,0.004262600000402017,0.009582899999259098,491.0,456,8,0.007084199999553675
11,313,473.0,0.06767360000048939,heavy,0.033475799999905576,473.0,359,2,0.0020750000003317837,0.018127999999705935,473.0,403,4,0.004550499999822932,0.008679000000483938,473.0,434,8,0.0064806999998836545
12,182,363.0,0.0384715000000142,heavy,0.02036190000035276,363.0,240,2,0.0018870000003516907,0.012351100000159931,363.0,296,4,0.004520399999819347,0.006630000000768632,363.0,338,8,0.00681920000079117
13,171,611.0,0.0370943999996598,heavy,0.021700700000110373,611.0,246,2,0.0022488000004159403,0.01597380000021076,611.0,362,4,0.0046056000001044595,0.011048500000470085,611.0,512,8,0.007542199999988952
14,233,329.0,0.0491463999996995,heavy,0.023994500000299013,329.0,267,2,0.0018815000003087334,0.012566000000333588,329.0,302,4,0.003779499999836844,0.006259999999201682,329.0,317,8,0.00663910000002943
15,249,587.0,0.05488650000006601,heavy,0.0325009999996837,587.0,339,2,0.002224500000011176,0.01815219999934925,587.0,429,4,0.004566900000099849,0.010797799999636482,587.0,512,8,0.008293300000332238
16,153,399.0,0.031922799999847484,heavy,0.01972329999989597,399.0,226,2,0.002025800000410527,0.012502200000199082,399.0,298,4,0.004037800000332936,0.007215699999505887,399.0,367,8,0.006600599999728729
17,139,572.0,0.02911519999997836,heavy,0.01808569999957399,572.0,207,2,0.0015750000002299203,0.01441530000010971,572.0,332,4,0.0037092000002303394,0.009935000000041327,572.0,484,8,0.006567799999174895
