matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
0,7328,7790.0,3.899700300069526,heavy_static,1.2439395999535918,7790.0,7191,2,0.08355300000403076,0.41102829994633794,7790.0,7145,4,0.23095470003318042,0.1395813999697566,7790.0,7196,8,0.03593840007670224
1,8071,8743.0,1.243069599964656,heavy_static,0.5820518000982702,8743.0,7970,2,0.020064499927684665,0.5640786000294611,8743.0,7879,4,0.03326499997638166,0.14536369999404997,8743.0,7904,8,0.04020499996840954
2,7640,8178.0,1.1451051000040025,heavy_static,0.44661660003475845,8178.0,7531,2,0.01669459999538958,0.2818816000362858,8178.0,7423,4,0.029004600015468895,0.1454271998954937,8178.0,7460,8,0.044620800064876676
3,7475,7950.0,1.2059365999884903,heavy_static,0.4723398999776691,7950.0,7362,2,0.01774670009035617,0.29879360005725175,7950.0,7274,4,0.03320079995319247,0.1453107000561431,7950.0,7296,8,0.05074470001272857
4,7570,8126.0,1.161202699993737,heavy_static,0.461302199983038,8126.0,7499,2,0.01615880010649562,0.2855468000052497,8126.0,7415,4,0.03067070001270622,0.24223400000482798,8126.0,7388,8,0.04949640005361289
5,8231,8907.0,1.202184500056319,heavy_static,0.49470839998684824,8907.0,8144,2,0.01802090008277446,0.28118079993873835,8907.0,8014,4,0.029429799993522465,0.12568050005938858,8907.0,8034,8,0.04102150001563132
6,7381,7901.0,1.1006794000277296,heavy_static,0.44328759994823486,7901.0,7259,2,0.016746400040574372,0.21467670006677508,7901.0,7202,4,0.027278200024738908,0.10515570000279695,7901.0,7248,8,0.03514990000985563
7,7578,8173.0,1.159901599981822,heavy_static,0.46185500000137836,8173.0,7529,2,0.017528600059449673,0.21466379996854812,8173.0,7443,4,0.02845119999255985,0.10812719992827624,8173.0,7449,8,0.036154999979771674
8,7632,8178.0,1.181488100090064,heavy_static,0.4746797999832779,8178.0,7521,2,0.01659540005493909,0.23075640003662556,8178.0,7446,4,0.03170279995538294,0.11312429991085082,8178.0,7474,8,0.04130560008343309
9,8109,8759.0,1.2227646000683308,heavy_static,0.5352944999467582,8759.0,8018,2,0.018434600089676678,0.28657979995477945,8759.0,7917,4,0.03382170002441853,0.1535452000098303,8759.0,7923,8,0.0562907001003623
10,7470,8005.0,1.2007094000000507,heavy_static,0.4921448000241071,8005.0,7396,2,0.016863299999386072,0.24238219996914268,8005.0,7276,4,0.03145030001178384,0.1218778999755159,8005.0,7311,8,0.043147699907422066
11,7773,8391.0,1.4609906999394298,heavy_static,0.5520020000403747,8391.0,7727,2,0.020694000064395368,0.26540999999269843,8391.0,7603,4,0.033253800007514656,0.12315310002304614,8391.0,7646,8,0.046151199960149825
12,7653,8245.0,1.2261723999399692,heavy_static,0.48948440002277493,8245.0,7577,2,0.018707199953496456,0.2360229000914842,8245.0,7481,4,0.034859900013543665,0.12338839995209128,8245.0,7483,8,0.04822029999922961
13,7504,8055.0,1.271457999944687,heavy_static,0.49719260004349053,8055.0,7421,2,0.01807420002296567,0.23133099998813123,8055.0,7352,4,0.029446400003507733,0.11757730005774647,8055.0,7390,8,0.05000209994614124
14,7080,7590.0,1.157753499923274,heavy_static,0.46815349999815226,7590.0,7043,2,0.017236800049431622,0.23142879991792142,7590.0,6956,4,0.03090800007339567,0.12316060008015484,7590.0,7024,8,0.04093339992687106
15,7917,8496.0,1.2564034999813884,heavy_static,0.5412858999334276,8496.0,7794,2,0.016949899960309267,0.26402040000539273,8496.0,7699,4,0.03286090004257858,0.1275163000682369,8496.0,7703,8,0.043360000010579824
16,7585,8113.0,1.146654500043951,heavy_static,0.4644095000112429,8113.0,7503,2,0.017801100038923323,0.22060930007137358,8113.0,7413,4,0.028512899996712804,0.11503919993992895,8113.0,7404,8,0.03795099991839379
17,8076,8710.0,1.214249899960123,heavy_static,0.5593565000453964,8710.0,7932,2,0.016856999951414764,0.26371630001813173,8710.0,7858,4,0.029377399943768978,0.15033519989810884,8710.0,7853,8,0.04634760005865246
18,7620,8183.0,1.1439025999279693,heavy_static,0.5314121999545023,8183.0,7594,2,0.017310800030827522,0.2469775000354275,8183.0,7406,4,0.032621099962852895,0.12880669999867678,8183.0,7419,8,0.04431179992388934
19,7698,8277.0,1.2733631998999044,heavy_static,0.5167375999735668,8277.0,7632,2,0.0203038000036031,0.27552629995625466,8277.0,7547,4,0.0329668999183923,0.17392370000015944,8277.0,7522,8,0.053710200008936226
20,7833,8446.0,1.2942585999844596,heavy_static,0.5384375000139698,8446.0,7786,2,0.016743300016969442,0.3211367999901995,8446.0,7662,4,0.03348560002632439,0.1683034000452608,8446.0,7672,8,0.05039109999779612
21,7297,7743.0,1.1084783000405878,heavy_static,0.46309330000076443,7743.0,7194,2,0.02075440005864948,0.21670989994890988,7743.0,7114,4,0.031050499994307756,0.10774219990707934,7743.0,7076,8,0.04207859991583973
22,7625,8168.0,1.2067684000357985,heavy_static,0.4912904999218881,8168.0,7547,2,0.017141100019216537,0.22838659991975874,8168.0,7389,4,0.030090600019320846,0.11558350000996143,8168.0,7428,8,0.040447400067932904
23,7370,7910.0,1.1416063000215217,heavy_static,0.4687264000531286,7910.0,7293,2,0.01604140002746135,0.22066699992865324,7910.0,7201,4,0.03125010000076145,0.1714963000267744,7910.0,7194,8,0.043099100003018975
24,7541,8103.0,1.1812787000089884,heavy_static,0.4858298999024555,8103.0,7467,2,0.01736279996111989,0.2259295000694692,8103.0,7393,4,0.03124409995507449,0.11358170001767576,8103.0,7403,8,0.042790699983015656
25,7415,7987.0,1.126449799980037,heavy_static,0.4692361999768764,7987.0,7364,2,0.01736739999614656,0.2357627999735996,7987.0,7278,4,0.03039199998602271,0.1381911999778822,7987.0,7261,8,0.055725299986079335
26,7548,8057.0,1.1491365000838414,heavy_static,0.4816732000326738,8057.0,7435,2,0.01732760004233569,0.22957010008394718,8057.0,7348,4,0.031313100014813244,0.1409906999906525,8057.0,7326,8,0.050018300069496036
27,7594,8140.0,1.1075368999736384,heavy_static,0.47632030001841486,8140.0,7483,2,0.016584900091402233,0.2275506000733003,8140.0,7360,4,0.030269799986854196,0.11420820001512766,8140.0,7416,8,0.041404200019314885
28,7947,8521.0,1.2054570999462157,heavy_static,0.5033278000773862,8521.0,7813,2,0.0178711999906227,0.31537480000406504,8521.0,7695,4,0.03210499999113381,0.12005890009459108,8521.0,7729,8,0.05325140000786632
29,7737,8305.0,1.1770963999442756,heavy_static,0.5054125000024214,8305.0,7649,2,0.0169792000669986,0.2801475999876857,8305.0,7531,4,0.03299490001518279,0.1660042000003159,8305.0,7501,8,0.05440249992534518
30,7667,8254.0,1.2427759999409318,heavy_static,0.5061368000460789,8254.0,7624,2,0.01653779996559024,0.24041540001053363,8254.0,7477,4,0.03339779993984848,0.11944939999375492,8254.0,7515,8,0.04379360005259514
31,7711,8309.0,1.1851007998920977,heavy_static,0.5092776000965387,8309.0,7655,2,0.01758089999202639,0.24842710001394153,8309.0,7536,4,0.0327097000554204,0.11925029999110848,8309.0,7594,8,0.05165029992349446
32,7936,8541.0,1.2475192999700084,heavy_static,0.5190432000672445,8541.0,7799,2,0.018398999935016036,0.3217093999264762,8541.0,7795,4,0.02969729993492365,0.1208545999834314,8541.0,7744,8,0.05652199999894947
33,8016,8641.0,1.2237962000072002,heavy_static,0.5175481999758631,8641.0,7903,2,0.018823100021108985,0.30204159999266267,8641.0,7833,4,0.03387399995699525,0.16373000002931803,8641.0,7852,8,0.05510199989657849
34,7247,7749.0,1.1254881999921054,heavy_static,0.47535409999545664,7749.0,7182,2,0.020113399950787425,0.25346290005836636,7749.0,7084,4,0.02859799994621426,0.12237970007117838,7749.0,7142,8,0.044296300038695335
35,7669,8244.0,1.1690176000120118,heavy_static,0.4999684999929741,8244.0,7600,2,0.01642380002886057,0.23424280004110187,8244.0,7473,4,0.03127799998037517,0.12946990004274994,8244.0,7507,8,0.044231400010176
36,7602,8188.0,1.1566781000001356,heavy_static,0.5615532000083476,8188.0,7552,2,0.0163567999843508,0.24589699995703995,8188.0,7415,4,0.030396000016480684,0.16542009997647256,8188.0,7472,8,0.055597699945792556
37,7455,7929.0,1.161220399895683,heavy_static,0.489497400005348,7929.0,7333,2,0.017504499992355704,0.23045030003413558,7929.0,7258,4,0.03228109993506223,0.11453239992260933,7929.0,7268,8,0.047351400018669665
38,7332,7861.0,1.140401400043629,heavy_static,0.4943952999310568,7861.0,7262,2,0.01855430006980896,0.23424929997418076,7861.0,7194,4,0.03771069995127618,0.11460069997701794,7861.0,7215,8,0.04540830000769347
39,8096,8747.0,1.27858110005036,heavy_static,0.5249366000061855,8747.0,7971,2,0.019774600048549473,0.30017380008939654,8747.0,7848,4,0.0352866998873651,0.1470131000969559,8747.0,7911,8,0.05549940001219511
40,7759,8381.0,1.2046666000969708,heavy_static,0.5187662000535056,8381.0,7696,2,0.018335800035856664,0.24255850003100932,8381.0,7586,4,0.03332679998129606,0.12038670002948493,8381.0,7597,8,0.048094999976456165
41,7957,8583.0,1.2026595999486744,heavy_static,0.5220619000028819,8583.0,7871,2,0.018570300075225532,0.2973721999442205,8583.0,7783,4,0.03434240003116429,0.16540579998400062,8583.0,7759,8,0.053656999953091145
42,7459,7990.0,1.1738773999968544,heavy_static,0.49331530008930713,7990.0,7369,2,0.016744700027629733,0.232440400053747,7990.0,7311,4,0.032775299972854555,0.15024960006121546,7990.0,7301,8,0.045891999965533614
43,7637,8198.0,1.1859452000353485,heavy_static,0.5029842000221834,8198.0,7545,2,0.016149200033396482,0.23576139996293932,8198.0,7443,4,0.03316450002603233,0.1428889000089839,8198.0,7484,8,0.043909400003030896
44,7698,8270.0,1.4084101000335068,heavy_static,0.5021856999956071,8270.0,7590,2,0.016564100049436092,0.3134876999538392,8270.0,7498,4,0.03355339996051043,0.15272040001582354,8270.0,7520,8,0.05694119993131608
45,7652,8212.0,1.1437390999635682,heavy_static,0.5053337999852374,8212.0,7564,2,0.01581450004596263,0.23245650005992502,8212.0,7443,4,0.029531200067140162,0.1180006000213325,8212.0,7491,8,0.04378780000843108
46,7589,8141.0,1.2869400000199676,heavy_static,0.490990599966608,8141.0,7497,2,0.01775540004018694,0.23597259994130582,8141.0,7371,4,0.03324120002798736,0.1387205000501126,8141.0,7453,8,0.04761170002166182
47,7645,8209.0,1.1969412000617012,heavy_static,0.5177387999137864,8209.0,7551,2,0.018223099992610514,0.373888700036332,8209.0,7442,4,0.03334850003011525,0.1386820999905467,8209.0,7451,8,0.05405330006033182
48,7377,7860.0,1.1684834999032319,heavy_static,0.5043116000015289,7860.0,7295,2,0.016085100010968745,0.23191130009945482,7860.0,7196,4,0.03179270005784929,0.18343269999604672,7860.0,7232,8,0.052505700034089386
49,7876,8445.0,1.2247979999519885,heavy_static,0.5222448999993503,8445.0,7776,2,0.018516300013288856,0.30759570002555847,8445.0,7665,4,0.03489899996202439,0.12913539994042367,8445.0,7629,8,0.05563389998860657
50,7865,8468.0,1.2363737999694422,heavy_static,0.5499691000441089,8468.0,7795,2,0.016614100080914795,0.3226288999430835,8468.0,7679,4,0.031080799992196262,0.16698510001879185,8468.0,7678,8,0.055058599915355444
51,7649,8203.0,1.1788638000143692,heavy_static,0.5084835999878123,8203.0,7565,2,0.018293999950401485,0.24154030007775873,8203.0,7479,4,0.03484570002183318,0.1335345000261441,8203.0,7470,8,0.04817389999516308
52,7392,7933.0,1.1500160000286996,heavy_static,0.4950019000098109,7933.0,7347,2,0.017789100063964725,0.2314571999013424,7933.0,7239,4,0.03215860005002469,0.12712929991539568,7933.0,7221,8,0.04552070004865527
53,7717,8322.0,1.2154788000043482,heavy_static,0.5158970999764279,8322.0,7671,2,0.01647849997971207,0.25898340006824583,8322.0,7547,4,0.0340247000567615,0.16182170005049556,8322.0,7609,8,0.05535879998933524
54,7912,8489.0,1.2719109000172466,heavy_static,0.5567792999790981,8489.0,7798,2,0.018539799959398806,0.3063564000185579,8489.0,7688,4,0.032589999958872795,0.19212709995917976,8489.0,7681,8,0.05847539997193962
