matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,7328,7790.0,3.1408883000258356,heavy_static,1.3313151999609545,7790.0,7191,2,0.04111630003899336,0.28894470003433526,7790.0,7145,4,0.2574713999638334,0.15607140003703535,7790.0,7196,8,0.04557040007784963,0.07944909995421767,7790.0,7202,16,0.06095780001487583
1,8071,8743.0,1.2119469000026584,heavy_static,0.49054679996334016,8743.0,7970,2,0.018598100054077804,0.3747432000236586,8743.0,7879,4,0.029402100015431643,0.15188480005599558,8743.0,7904,8,0.050766399945132434,0.09063499991316348,8743.0,8013,16,0.05164760001935065
2,7640,8178.0,1.1882821000181139,heavy_static,0.45251710002776235,8178.0,7531,2,0.016189899994060397,0.2079503999557346,8178.0,7423,4,0.030921800062060356,0.14614570001140237,8178.0,7460,8,0.049264000030234456,0.14777020004112273,8178.0,7557,16,0.05066750000696629
3,7475,7950.0,1.1290185999823734,heavy_static,0.45457259996328503,7950.0,7362,2,0.015623999992385507,0.21192389994394034,7950.0,7274,4,0.030578300007618964,0.12638170004356652,7950.0,7296,8,0.04110889998264611,0.06340960005763918,7950.0,7370,16,0.05028009996749461
4,7570,8126.0,1.1927416999824345,heavy_static,0.45895320002455264,8126.0,7499,2,0.015731099992990494,0.21598760003689677,8126.0,7415,4,0.031210400047712028,0.1124141999753192,8126.0,7388,8,0.04075739998370409,0.05805599992163479,8126.0,7490,16,0.04869409999810159
5,8231,8907.0,1.25413789995946,heavy_static,0.49730400007683784,8907.0,8144,2,0.01834830001462251,0.3045585999498144,8907.0,8014,4,0.0335348000517115,0.11734629992861301,8907.0,8034,8,0.052172500058077276,0.09387719992082566,8907.0,8167,16,0.05648049991577864
6,7381,7901.0,1.1091642999090254,heavy_static,0.45704180002212524,7901.0,7259,2,0.01653030002489686,0.27315850008744746,7901.0,7202,4,0.03117139998357743,0.10739110002759844,7901.0,7248,8,0.04348620004020631,0.056396699976176023,7901.0,7305,16,0.04992549994494766
7,7578,8173.0,1.1597894000587985,heavy_static,0.48516419995576143,8173.0,7529,2,0.02140009996946901,0.21864099998492748,8173.0,7443,4,0.032024400075897574,0.11908360000234097,8173.0,7449,8,0.04359139990992844,0.07759950007312,8173.0,7563,16,0.05368800007272512
8,7632,8178.0,1.1665753999259323,heavy_static,0.4782035000389442,8178.0,7521,2,0.015550800017081201,0.22172479995060712,8178.0,7446,4,0.03167530009523034,0.12007689999882132,8178.0,7474,8,0.04311999992933124,0.05959349998738617,8178.0,7533,16,0.05112159997224808
9,8109,8759.0,1.299664800055325,heavy_static,0.5078432000009343,8759.0,8018,2,0.018628800055012107,0.29073659994173795,8759.0,7917,4,0.03381609998177737,0.15844909998122603,8759.0,7923,8,0.05839899997226894,0.12924729997757822,8759.0,8023,16,0.05680320004466921
