matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
0,329,346.0,2.137972899945453,heavy_static,0.6591108000138775,346.0,338,2,0.012886499986052513,0.011873799958266318,346.0,341,4,0.19904940004926175,0.00662580004427582,346.0,342,8,0.0072211999213323
1,478,521.0,0.05956990004051477,heavy_static,0.02885229990351945,521.0,491,2,0.002503500087186694,0.01528709998819977,521.0,491,4,0.004376400029286742,0.008192899986170232,521.0,506,8,0.007547799963504076
2,483,532.0,0.06243169994559139,heavy_static,0.0295683000003919,532.0,487,2,0.001604699995368719,0.023355499957688153,532.0,496,4,0.003604500088840723,0.008383800042793155,532.0,517,8,0.00793239998165518
3,591,647.0,0.07501209992915392,heavy_static,0.034535199985839427,647.0,586,2,0.002586500020697713,0.019144399906508625,647.0,611,4,0.0054561999859288335,0.011818199884146452,647.0,625,8,0.009070800035260618
4,593,653.0,0.07364900002721697,heavy_static,0.03493060008622706,653.0,581,2,0.0023367999820038676,0.018858500057831407,653.0,608,4,0.0049322000704705715,0.010304800001904368,653.0,627,8,0.009293299983255565
5,511,565.0,0.06389740004669875,heavy_static,0.054174300050362945,565.0,523,2,0.0021976999705657363,0.022234999923966825,565.0,531,4,0.005112400045618415,0.010316199972294271,565.0,543,8,0.00854730000719428
6,450,487.0,0.05597640003543347,heavy_static,0.029116899939253926,487.0,456,2,0.0022829000372439623,0.014502899954095483,487.0,458,4,0.004154000082053244,0.008126900065690279,487.0,474,8,0.007783700013533235
7,295,314.0,0.03727910004090518,heavy_static,0.018760900013148785,314.0,311,2,0.0012854000087827444,0.00955950003117323,314.0,310,4,0.0038840000052005053,0.0052121999906376,314.0,311,8,0.007380700088106096
8,430,474.0,0.05546359997242689,heavy_static,0.02684410009533167,474.0,443,2,0.001438200008124113,0.018439800012856722,474.0,451,4,0.004323300090618432,0.011737499968148768,474.0,466,8,0.012993799988180399
9,361,384.0,0.045626800041645765,heavy_static,0.021579300053417683,384.0,358,2,0.0013071999419480562,0.011235199985094368,384.0,366,4,0.0035418999614194036,0.006625199923291802,384.0,379,8,0.005705300020053983
10,452,491.0,0.056224900064989924,heavy_static,0.027054999954998493,491.0,460,2,0.0025665999855846167,0.014945800066925585,491.0,465,4,0.004511700011789799,0.010408800095319748,491.0,479,8,0.008266899967566133
11,444,473.0,0.05648190004285425,heavy_static,0.027930699987336993,473.0,453,2,0.0020797000033780932,0.014743400039151311,473.0,458,4,0.004094499978236854,0.007706600008532405,473.0,464,8,0.0073856000090017915
12,337,363.0,0.06981420004740357,heavy_static,0.028007500106468797,363.0,345,2,0.0036461999407038093,0.011479000095278025,363.0,348,4,0.004726600018329918,0.006002500071190298,363.0,360,8,0.007648399914614856
13,552,611.0,0.06995660008396953,heavy_static,0.032818600069731474,611.0,554,2,0.0026061999378725886,0.018530000001192093,611.0,579,4,0.004593400051817298,0.009658000082708895,611.0,593,8,0.008559499983675778
