matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
0,469,7790.0,0.6570915000047535,maximum,0.29368990001967177,7790.0,500,2,0.16059769998537377,0.16668709999066778,7790.0,563,4,0.36555469999439083,0.0749505000130739,7790.0,660,8,0.041179099993314594
1,488,8743.0,0.8121053999930155,maximum,0.3653665999881923,8743.0,519,2,0.022248799999943003,0.1460596999968402,8743.0,570,4,0.03181590000167489,0.08671340000000782,8743.0,681,8,0.03985239999019541
2,478,8178.0,0.7201283999893349,maximum,0.3180862999870442,8178.0,508,2,0.01688889999059029,0.1547339999815449,8178.0,567,4,0.031015399988973513,0.08376460001454689,8178.0,673,8,0.04026090001570992
3,474,7950.0,0.7226889999874402,maximum,0.32558149998658337,7950.0,506,2,0.019296999991638586,0.16164449998177588,7950.0,559,4,0.031249099993146956,0.0791451999975834,7950.0,675,8,0.041796800011070445
4,488,8126.0,0.7521272000158206,maximum,0.3470048999879509,8126.0,508,2,0.017378599994117394,0.1549020999809727,8126.0,570,4,0.030998499976703897,0.08136139999260195,8126.0,677,8,0.040879600011976436
5,486,8907.0,0.770115799998166,maximum,0.3232082999893464,8907.0,513,2,0.01906369999051094,0.16114760001073591,8907.0,572,4,0.03245060000335798,0.08540380001068115,8907.0,679,8,0.04596779998973943
6,473,7901.0,0.72286000000895,maximum,0.35934239998459816,7901.0,503,2,0.019581600005039945,0.16307559999404475,7901.0,559,4,0.03183349999017082,0.08889029998681508,7901.0,664,8,0.04467669999576174
7,475,8173.0,0.711720699997386,maximum,0.31403740000678226,8173.0,507,2,0.017075200012186542,0.1604261000175029,8173.0,558,4,0.028008599998429418,0.08659689998603426,8173.0,673,8,0.04146239999681711
8,478,8178.0,0.6894333999953233,maximum,0.3346212000178639,8178.0,511,2,0.016772800008766353,0.16100520000327379,8178.0,563,4,0.026910000015050173,0.07484879999537952,8178.0,672,8,0.04097570001613349
9,482,8759.0,0.7284848999988753,maximum,0.32954120001522824,8759.0,516,2,0.02038839997840114,0.14283210001303814,8759.0,569,4,0.030640499986475334,0.08945170001243241,8759.0,683,8,0.04308090000995435
10,473,8005.0,0.7127201000112109,maximum,0.3106856000085827,8005.0,501,2,0.01762379999854602,0.13955550000537187,8005.0,561,4,0.03113170000142418,0.08252300001913682,8005.0,669,8,0.04104329997790046
11,486,8391.0,0.7243978999904357,maximum,0.3460270999930799,8391.0,512,2,0.020464600005652755,0.15441230000578798,8391.0,563,4,0.030978099995991215,0.07771380001213402,8391.0,676,8,0.042094599979463965
12,486,8245.0,0.7316784000140615,maximum,0.31471470001270063,8245.0,509,2,0.018343400006415322,0.1470741000084672,8245.0,573,4,0.0306175000150688,0.08866979999584146,8245.0,675,8,0.038352200004737824
13,471,8055.0,0.7083082000026479,maximum,0.31170309998560697,8055.0,503,2,0.017265500006033108,0.159174600004917,8055.0,552,4,0.03136369999265298,0.08436140001867898,8055.0,666,8,0.040406999993138015
14,458,7590.0,0.675674700003583,maximum,0.32602410000981763,7590.0,489,2,0.018861400021705776,0.1496913000009954,7590.0,544,4,0.029280599992489442,0.07148060001782142,7590.0,650,8,0.035713499994017184
15,474,8496.0,0.7243878000008408,maximum,0.3375487999874167,8496.0,505,2,0.01874080000561662,0.1428242000110913,8496.0,569,4,0.029780599987134337,0.08730889999424107,8496.0,673,8,0.03835600000456907
16,483,8113.0,0.7131599000131246,maximum,0.31693680002354085,8113.0,511,2,0.018492700008209795,0.16371659998549148,8113.0,564,4,0.031603400013409555,0.08639160002348945,8113.0,676,8,0.04135449999012053
17,493,8710.0,0.7562576000054833,maximum,0.3385650999844074,8710.0,521,2,0.01913030000287108,0.16089549998287112,8710.0,571,4,0.032077300013042986,0.07718649998423643,8710.0,687,8,0.03709460000391118
18,475,8183.0,0.6990708000084851,maximum,0.3443591999821365,8183.0,508,2,0.019257500011008233,0.16264710001996718,8183.0,561,4,0.030945399979827926,0.09217139999964274,8183.0,674,8,0.04057539999485016
19,477,8277.0,0.8058755999954883,maximum,0.36910089998855256,8277.0,509,2,0.02173219999531284,0.17027400000370108,8277.0,567,4,0.03287210001144558,0.09176410001236945,8277.0,676,8,0.04596630000742152
20,473,8446.0,0.793705999996746,maximum,0.3599748999986332,8446.0,504,2,0.020948100020177662,0.16659989999607205,8446.0,569,4,0.03289120001136325,0.08952239999780431,8446.0,678,8,0.044568800018168986
21,478,7743.0,0.7286583000095561,maximum,0.343187599995872,7743.0,511,2,0.01720279999426566,0.14505960000678897,7743.0,564,4,0.029059699998470023,0.0892355999967549,7743.0,673,8,0.038393700000597164
22,470,8168.0,0.7214909000031184,maximum,0.30986519998987205,8168.0,505,2,0.016387000010581687,0.1569294000219088,8168.0,562,4,0.02886479999870062,0.08637619999353774,8168.0,675,8,0.03795830000308342
23,465,7910.0,0.6784555000194814,maximum,0.306160899985116,7910.0,496,2,0.016636499989544973,0.14136760000837967,7910.0,551,4,0.03016849997220561,0.0750318999926094,7910.0,664,8,0.039128400007029995
24,472,8103.0,0.6712004000146408,maximum,0.3157692999811843,8103.0,508,2,0.01723399999900721,0.14288369999849238,8103.0,560,4,0.031783899990841746,0.07550040000933222,8103.0,670,8,0.03928210001322441
