matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,469,7790.0,0.6626224000938237,maximum,0.30401520000305027,7790.0,500,2,0.4127425999613479,0.13697569991927594,7790.0,563,4,0.40435209998395294,0.07331960008013994,7790.0,660,8,0.03459220007061958,0.04471209994517267,7790.0,841,16,0.04166840005200356
1,488,8743.0,0.7030229999218136,maximum,0.3072479000547901,8743.0,519,2,0.018343200092203915,0.17387110006529838,8743.0,570,4,0.03266790008638054,0.07325110002420843,8743.0,681,8,0.03721950005274266,0.04347499995492399,8743.0,866,16,0.046791600063443184
2,478,8178.0,0.6796725000021979,maximum,0.2993726000422612,8178.0,508,2,0.01558500004466623,0.13851740001700819,8178.0,567,4,0.031298100017011166,0.07131779997143894,8178.0,673,8,0.03679720009677112,0.04303140006959438,8178.0,851,16,0.04064619995187968
3,474,7950.0,0.6719965999945998,maximum,0.294575999956578,7950.0,506,2,0.015738700050860643,0.13094060006551445,7950.0,559,4,0.02533390000462532,0.07024899998214096,7950.0,675,8,0.03407870000228286,0.040073299896903336,7950.0,850,16,0.04113060003146529
4,488,8126.0,0.6969679000321776,maximum,0.2996135000139475,8126.0,508,2,0.016563800047151744,0.13496220007073134,8126.0,570,4,0.025601300061680377,0.07062740006949753,8126.0,677,8,0.03656520007643849,0.04059470002539456,8126.0,850,16,0.04235200001858175
5,486,8907.0,0.6860456999856979,maximum,0.3035142000298947,8907.0,513,2,0.01755119999870658,0.13890189991798252,8907.0,572,4,0.02906490000896156,0.07128060003742576,8907.0,679,8,0.03869169997051358,0.04279510001651943,8907.0,872,16,0.04638479999266565
6,473,7901.0,0.6594689999474213,maximum,0.2967359999893233,7901.0,503,2,0.017288499977439642,0.13364629994612187,7901.0,559,4,0.026183400070294738,0.07043159997556359,7901.0,664,8,0.035074699902907014,0.0445623000850901,7901.0,844,16,0.04093949997331947
7,475,8173.0,0.6556204000953585,maximum,0.2930430000415072,8173.0,507,2,0.017277700011618435,0.1333947000093758,8173.0,558,4,0.027140500023961067,0.0719816000200808,8173.0,673,8,0.03448120004031807,0.04364040005020797,8173.0,854,16,0.041921399999409914
8,478,8178.0,0.6622197000542656,maximum,0.3030466000782326,8178.0,511,2,0.017430700012482703,0.13298819994088262,8178.0,563,4,0.02542730001732707,0.06922930001746863,8178.0,672,8,0.03464770002756268,0.04157420003321022,8178.0,852,16,0.0400701001053676
9,482,8759.0,0.6768296000082046,maximum,0.30154350004158914,8759.0,516,2,0.018108399934135377,0.1338802999816835,8759.0,569,4,0.02725430007558316,0.07115430000703782,8759.0,683,8,0.0352163000497967,0.04474500007927418,8759.0,868,16,0.04362590005621314
10,473,8005.0,0.6459067000541836,maximum,0.2903964000288397,8005.0,501,2,0.017214399995282292,0.13181110005825758,8005.0,561,4,0.02668700006324798,0.07136230007745326,8005.0,669,8,0.03552619996480644,0.04185229993890971,8005.0,847,16,0.04083979991264641
11,486,8391.0,0.6722003999166191,maximum,0.2975780999986455,8391.0,512,2,0.017059499979950488,0.13725439994595945,8391.0,563,4,0.026038500014692545,0.07317679992411286,8391.0,676,8,0.03408190002664924,0.044004099909216166,8391.0,857,16,0.043334600050002337
12,486,8245.0,0.6857806999469176,maximum,0.29829419997986406,8245.0,509,2,0.015939699951559305,0.137104699970223,8245.0,573,4,0.02644400007557124,0.0708349000196904,8245.0,675,8,0.0340485000051558,0.04190830001607537,8245.0,854,16,0.041366999968886375
13,471,8055.0,0.6559838999528438,maximum,0.29321979999076575,8055.0,503,2,0.018265899969264865,0.13012300000991672,8055.0,552,4,0.02603609999641776,0.06932839995715767,8055.0,666,8,0.035302700009197,0.040922599961049855,8055.0,844,16,0.041003999998793006
14,458,7590.0,0.6423724999185652,maximum,0.2879233000567183,7590.0,489,2,0.015206700074486434,0.12786989996675402,7590.0,544,4,0.02454910008236766,0.06660959997680038,7590.0,650,8,0.03168419993016869,0.04333580005913973,7590.0,832,16,0.039771600044332445
15,474,8496.0,0.6544161000056192,maximum,0.2910437999526039,8496.0,505,2,0.016103700036183,0.13470389996655285,8496.0,569,4,0.02529689995571971,0.06945020006969571,8496.0,673,8,0.031136400066316128,0.04127879999577999,8496.0,859,16,0.03675560001283884
16,483,8113.0,0.6493523999815807,maximum,0.2999933999963105,8113.0,511,2,0.01689309999346733,0.1341769000282511,8113.0,564,4,0.025876499945297837,0.07282889995258301,8113.0,676,8,0.03510199999436736,0.04177660006098449,8113.0,848,16,0.03955780004616827
17,493,8710.0,0.7085589000489563,maximum,0.30757109995465726,8710.0,521,2,0.016572499996982515,0.13566329993773252,8710.0,571,4,0.02664199995342642,0.07197809999343008,8710.0,687,8,0.03693750000093132,0.04219880001619458,8710.0,869,16,0.04194359993562102
18,475,8183.0,0.6663018999388441,maximum,0.30086780001875013,8183.0,508,2,0.018021700088866055,0.13256669999100268,8183.0,561,4,0.02673539996612817,0.07073419995140284,8183.0,674,8,0.03429900004994124,0.043158700107596815,8183.0,851,16,0.040786099969409406
19,477,8277.0,0.684506900026463,maximum,0.30297990003600717,8277.0,509,2,0.01614960003644228,0.13432439998723567,8277.0,567,4,0.026553899981081486,0.0702064000070095,8277.0,676,8,0.035680599976330996,0.04601260006893426,8277.0,857,16,0.041040999931283295
20,473,8446.0,0.6605999999446794,maximum,0.29456200008280575,8446.0,504,2,0.01564600004348904,0.13650039990898222,8446.0,569,4,0.026365999947302043,0.07105330005288124,8446.0,678,8,0.0346012000227347,0.041313900030218065,8446.0,855,16,0.04040329996496439
21,478,7743.0,0.6819929999765009,maximum,0.3046833999687806,7743.0,511,2,0.016708000097423792,0.13549280003644526,7743.0,564,4,0.02563910000026226,0.07015320006757975,7743.0,673,8,0.033241799916140735,0.040804199990816414,7743.0,841,16,0.03790999995544553
22,470,8168.0,0.6466581000713632,maximum,0.294660700019449,8168.0,505,2,0.015747199999168515,0.1316589000634849,8168.0,562,4,0.023923899978399277,0.07078820001333952,8168.0,675,8,0.030822600005194545,0.04069290007464588,8168.0,847,16,0.03953920002095401
23,465,7910.0,0.6426572999916971,maximum,0.2884034999879077,7910.0,496,2,0.015549300005659461,0.12922819994855672,7910.0,551,4,0.025053300079889596,0.06903139990754426,7910.0,664,8,0.034235900035128,0.04096799995750189,7910.0,850,16,0.03927239996846765
24,472,8103.0,0.6345864000031725,maximum,0.29290470003616065,8103.0,508,2,0.017002099892124534,0.13339009997434914,8103.0,560,4,0.02674140001181513,0.07047260005492717,8103.0,670,8,0.03497030003927648,0.04140969994477928,8103.0,850,16,0.04173529997933656
25,477,7987.0,0.6553472999949008,maximum,0.2962530000368133,7987.0,507,2,0.01623690000269562,0.1318375999107957,7987.0,561,4,0.025691199931316078,0.06953739991877228,7987.0,675,8,0.03343700000550598,0.04181339999195188,7987.0,843,16,0.040233499952591956
26,475,8057.0,0.6366161999758333,maximum,0.287054399959743,8057.0,504,2,0.01593729993328452,0.1330820000730455,8057.0,563,4,0.026348500046879053,0.06893609999679029,8057.0,668,8,0.03275339992251247,0.04179709998425096,8057.0,851,16,0.04205659998115152
27,470,8140.0,0.6596809000475332,maximum,0.2907846999587491,8140.0,502,2,0.016620200010947883,0.13036680000368506,8140.0,553,4,0.02419150003697723,0.0694750000257045,8140.0,664,8,0.03240429994184524,0.040979200042784214,8140.0,845,16,0.03898289997596294
28,484,8521.0,0.7053027999354526,maximum,0.3056627999758348,8521.0,514,2,0.017143200035206974,0.13706779992207885,8521.0,569,4,0.026470800046809018,0.0715471999719739,8521.0,672,8,0.0339667999651283,0.04372810001950711,8521.0,861,16,0.04124950000550598
29,490,8305.0,0.6944793000584468,maximum,0.3065903999377042,8305.0,515,2,0.017281800042837858,0.1383716999553144,8305.0,570,4,0.027145700063556433,0.07084159995429218,8305.0,669,8,0.033874499960802495,0.04729839996434748,8305.0,847,16,0.03878659999463707
30,480,8254.0,0.6610799999907613,maximum,0.30299550003837794,8254.0,516,2,0.01573039998766035,0.13765339995734394,8254.0,566,4,0.025633999961428344,0.07101369998417795,8254.0,675,8,0.03268120007123798,0.042144899955019355,8254.0,847,16,0.0390663999132812
31,472,8309.0,0.6481847000541165,maximum,0.28554880002047867,8309.0,500,2,0.01649910002015531,0.13249310001265258,8309.0,557,4,0.026866800035350025,0.07041399995796382,8309.0,670,8,0.034692700020968914,0.04581030004192144,8309.0,853,16,0.041191999916918576
32,482,8541.0,0.6792449000058696,maximum,0.3068672999506816,8541.0,510,2,0.017402000026777387,0.13640429999213666,8541.0,572,4,0.02643190009985119,0.07344329997431487,8541.0,681,8,0.03734389995224774,0.04325430002063513,8541.0,866,16,0.04118549998383969
33,480,8641.0,0.6773120999569073,maximum,0.3024612999288365,8641.0,509,2,0.01718219998292625,0.13676250004209578,8641.0,566,4,0.027345500071533024,0.07173279998824,8641.0,681,8,0.036669000051915646,0.042282499955035746,8641.0,859,16,0.0422191999386996
34,468,7749.0,0.6510042999871075,maximum,0.2977084000594914,7749.0,506,2,0.017264399910345674,0.1321516000898555,7749.0,553,4,0.024810299975797534,0.0701529000652954,7749.0,668,8,0.034516299958340824,0.04227030009496957,7749.0,842,16,0.04022520000580698
35,474,8244.0,0.6677302999887615,maximum,0.2961316000437364,8244.0,506,2,0.01589929999317974,0.1353758000768721,8244.0,564,4,0.02440530003514141,0.06950789992697537,8244.0,665,8,0.03290160000324249,0.043334699934348464,8244.0,852,16,0.04006049991585314
36,466,8188.0,0.6543166999472305,maximum,0.33173450001049787,8188.0,503,2,0.016185499960556626,0.13976379996165633,8188.0,557,4,0.025318300002254546,0.07384450000245124,8188.0,668,8,0.03858880000188947,0.04505129996687174,8188.0,856,16,0.04773240000940859
37,470,7929.0,0.6686004999792203,maximum,0.3235077999997884,7929.0,504,2,0.017216000007465482,0.14663889992516488,7929.0,563,4,0.030965799931436777,0.07911130005959421,7929.0,669,8,0.0382916999515146,0.047653500107117,7929.0,841,16,0.04749429994262755
38,460,7861.0,0.6795336999930441,maximum,0.3192583000054583,7861.0,500,2,0.01791529997717589,0.14672059996519238,7861.0,551,4,0.028335300041362643,0.07898480002768338,7861.0,668,8,0.03951929998584092,0.0537886000238359,7861.0,842,16,0.04714499996043742
39,481,8747.0,0.7256148000014946,maximum,0.3171507000224665,8747.0,514,2,0.01850250002462417,0.1479150999803096,8747.0,573,4,0.03130279993638396,0.07772499998100102,8747.0,681,8,0.041777599952183664,0.04665699996985495,8747.0,863,16,0.04618149995803833
40,479,8381.0,0.7240802000742406,maximum,0.32661760004702955,8381.0,511,2,0.017978500109165907,0.16029789997264743,8381.0,566,4,0.028097699978388846,0.09262070001568645,8381.0,675,8,0.04249870008789003,0.0511210000840947,8381.0,855,16,0.057244100025855005
41,486,8583.0,0.7654144000262022,maximum,0.345649000024423,8583.0,522,2,0.020379099994897842,0.15589209995232522,8583.0,574,4,0.02994459995534271,0.08143899997230619,8583.0,682,8,0.03848960006143898,0.048927599913440645,8583.0,865,16,0.054027199978008866
42,475,7990.0,0.7164140000240877,maximum,0.336508100037463,7990.0,507,2,0.01776459999382496,0.1460583999287337,7990.0,557,4,0.03013730002567172,0.07897269993554801,7990.0,672,8,0.0407360999379307,0.05159579997416586,7990.0,843,16,0.051200699992477894
43,475,8198.0,0.7146584000438452,maximum,0.32205750001594424,8198.0,507,2,0.01741009997203946,0.14034919999539852,8198.0,560,4,0.030875999946147203,0.08073700009845197,8198.0,672,8,0.039595099980942905,0.04655089997686446,8198.0,853,16,0.05151440005283803
44,480,8270.0,0.7173343000467867,maximum,0.3342817999655381,8270.0,504,2,0.01737459993455559,0.15587439993396401,8270.0,560,4,0.03228859999217093,0.08198690006975085,8270.0,671,8,0.04073690006043762,0.04891570005565882,8270.0,851,16,0.04830909997690469
45,475,8212.0,0.7171345000388101,maximum,0.32489219994749874,8212.0,514,2,0.01733639999292791,0.14945759996771812,8212.0,563,4,0.0269019000697881,0.07996500004082918,8212.0,678,8,0.03781899996101856,0.05017459997907281,8212.0,856,16,0.05175540002528578
46,483,8141.0,0.7606473999330774,maximum,0.34569750004447997,8141.0,506,2,0.0179449999704957,0.15384409995749593,8141.0,560,4,0.030230799922719598,0.09472530009225011,8141.0,672,8,0.0432894000550732,0.05748740001581609,8141.0,849,16,0.05083800002466887
47,477,8209.0,0.7517200000584126,maximum,0.35207100003026426,8209.0,501,2,0.01985809998586774,0.1758004000876099,8209.0,560,4,0.037203599931672215,0.08368560008239001,8209.0,671,8,0.04274450009688735,0.05817179998848587,8209.0,839,16,0.04840740002691746
48,480,7860.0,0.7371719999937341,maximum,0.32803099998272955,7860.0,516,2,0.017125500016845763,0.1826417000265792,7860.0,557,4,0.029412700096145272,0.08671469998080283,7860.0,667,8,0.0381560999667272,0.051526099909096956,7860.0,849,16,0.05161000008229166
49,488,8445.0,0.770561599987559,maximum,0.3337736999383196,8445.0,517,2,0.019082400016486645,0.15591899992432445,8445.0,578,4,0.03219109994824976,0.10221100004855543,8445.0,683,8,0.04018489993177354,0.04870349995326251,8445.0,859,16,0.0470618000254035
50,476,8468.0,0.7068749000318348,maximum,0.32457429997157305,8468.0,512,2,0.020406399969942868,0.1477681000251323,8468.0,560,4,0.032271299976855516,0.07889479992445558,8468.0,673,8,0.04251659999135882,0.04842470004223287,8468.0,853,16,0.04913790000136942
