matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
0,44,346.0,0.03055500000482425,maximum,0.024026900005992502,346.0,67,2,0.14686589999473654,0.017233599995961413,346.0,103,4,0.32188470000983216,0.015107700019143522,346.0,167,8,0.006354899989673868
1,57,521.0,0.04233210001257248,maximum,0.028619399992749095,521.0,80,2,0.0021858999971300364,0.01980040001217276,521.0,115,4,0.0043015000119339675,0.014509800006635487,521.0,180,8,0.007657400012249127
2,53,532.0,0.036716600006911904,maximum,0.025919899984728545,532.0,75,2,0.0014733000134583563,0.02039409999269992,532.0,117,4,0.0033325999975204468,0.01508730000932701,532.0,182,8,0.007066499994834885
3,58,647.0,0.04137040002387948,maximum,0.028934700007084757,647.0,81,2,0.00220470002386719,0.020597900002030656,647.0,122,4,0.004559599998174235,0.015880899998592213,647.0,190,8,0.00754740001866594
4,57,653.0,0.04069659998640418,maximum,0.029741400008788332,653.0,83,2,0.002304299996467307,0.026302199985366315,653.0,121,4,0.004537900007562712,0.023758399998769164,653.0,190,8,0.008681500010425225
5,55,565.0,0.050880299997515976,maximum,0.037664600007701665,565.0,79,2,0.0026058999937959015,0.026274500007275492,565.0,117,4,0.006070700008422136,0.017611499992199242,565.0,193,8,0.008512899978086352
6,53,487.0,0.040349100017920136,maximum,0.028409399994416162,487.0,78,2,0.0019586000125855207,0.021822200011229143,487.0,111,4,0.004228599980706349,0.02141829999163747,487.0,180,8,0.008509100007358938
7,39,314.0,0.02707650000229478,maximum,0.025597100000595674,314.0,69,2,0.0011981999850831926,0.02081790001830086,314.0,100,4,0.0037982999929226935,0.014252599998144433,314.0,161,8,0.006497700000181794
8,49,474.0,0.034854199999244884,maximum,0.02749999999650754,474.0,73,2,0.001329500024439767,0.019467400008579716,474.0,109,4,0.0041760999883990735,0.01528280001366511,474.0,173,8,0.00707609998062253
9,51,384.0,0.038584599999012426,maximum,0.02531329999328591,384.0,70,2,0.001260999997612089,0.018947300006402656,384.0,106,4,0.00314400001661852,0.015013700001873076,384.0,165,8,0.005505200009793043
10,54,491.0,0.040790700004436076,maximum,0.029242100019473583,491.0,76,2,0.0020815000170841813,0.02113810001173988,491.0,114,4,0.004213300009723753,0.016079399996669963,491.0,177,8,0.007707600016146898
11,49,473.0,0.03577300001052208,maximum,0.02798019998590462,473.0,73,2,0.0020591000211425126,0.019637799996417016,473.0,111,4,0.004591300006723031,0.016871600004378706,473.0,182,8,0.006809099984820932
12,49,363.0,0.03507690000697039,maximum,0.02637229999527335,363.0,71,2,0.001902799995150417,0.019010099989827722,363.0,103,4,0.004005499999038875,0.01625339998281561,363.0,160,8,0.007899199990788475
