matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
0,10037,11247.0,2.8487804000033066,wfa,1.1073307000042405,11479.0,10169,2,0.027075999998487532,0.8529722999955993,12004.0,10427,4,0.37792940001236275,0.35498619999270886,12525.0,10738,8,0.04714750000857748
1,11061,12644.0,1.7593183999997564,wfa,1.0676803000096697,13311.0,11233,2,0.018080400011967868,0.8085181000060402,13479.0,11507,4,0.041991100006271154,0.35597629999392666,13850.0,11808,8,0.04771660000551492
2,10409,11838.0,1.677119900006801,wfa,0.8632837000186555,12335.0,10583,2,0.016959200002020225,0.6764745000109542,12458.0,10839,4,0.032683600002201274,0.3499547000101302,12898.0,11097,8,0.05347949999850243
3,10251,11963.0,1.6185117999848444,wfa,0.8438861999893561,12047.0,10397,2,0.016258299991022795,0.46812620002310723,12251.0,10621,4,0.031714300013845786,0.2758901000197511,12593.0,10898,8,0.05177729998831637
4,10526,11985.0,1.7352705000084825,wfa,0.8548134999873582,12044.0,10584,2,0.016775800002506003,0.5654928000003565,12272.0,10770,4,0.03300860000308603,0.282550000003539,12830.0,11181,8,0.04747839999618009
5,11330,12958.0,1.804603099997621,wfa,0.9099824000149965,13160.0,11348,2,0.020572999987052754,0.6493422000203282,13652.0,11605,4,0.03525620000436902,0.3155366000137292,13910.0,11994,8,0.04961270000785589
6,10138,11385.0,1.6501131000113674,wfa,0.8803599999810103,11945.0,10310,2,0.019954000017605722,0.4803533999947831,12514.0,10579,4,0.03361510002287105,0.2689978000125848,12681.0,10867,8,0.040690099995117635
7,10499,11894.0,1.7468804999953136,wfa,0.8692042999900877,12130.0,10620,2,0.018032099993433803,0.5867556000011973,12277.0,10832,4,0.03195410000625998,0.2980388000141829,12902.0,11147,8,0.044070300005842
8,10523,11912.0,1.8470468999876175,wfa,0.8626987999887206,12081.0,10618,2,0.016821299999719486,0.5178755999950226,12555.0,10848,4,0.03259389998856932,0.2869580000115093,13081.0,11177,8,0.049174999992828816
9,11148,12704.0,1.7960939000186045,wfa,0.9050381999986712,13045.0,11239,2,0.02203599998028949,0.5481712000037078,13192.0,11427,4,0.037100100016687065,0.30398100000456907,13812.0,11803,8,0.05283839997719042
10,10384,11891.0,1.6736227000073995,wfa,0.8615541000035591,11936.0,10446,2,0.018005199992330745,0.4824328999966383,12359.0,10699,4,0.03330599999753758,0.279590799997095,12655.0,10943,8,0.04703309998149052
