matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,174,10193.0,2.3549216000246815,heavy,0.044884499977342784,10305.0,177,2,0.027343499998096377,0.018021099967882037,11134.0,186,4,0.026434200000949204,0.0061147999949753284,12258.0,206,8,0.03365409997059032,0.002897700003813952,14121.0,244,16,0.04208240000298247
1,177,11236.0,0.15741929999785498,heavy,0.13529229996493086,11859.0,179,2,0.019718899973668158,0.015295099990908056,12262.0,187,4,0.029880299989599735,0.0058889000210911036,13682.0,206,8,0.03793679998489097,0.002962699974887073,15611.0,247,16,0.047047499974723905
2,177,10557.0,0.1591926999972202,heavy,0.046546900004614145,10763.0,178,2,0.016138100007083267,0.015994400018826127,11567.0,186,4,0.02615340001648292,0.006147500011138618,12980.0,208,8,0.03473610000219196,0.003093999985139817,14809.0,247,16,0.04247190000023693
3,176,10250.0,0.1554857000010088,heavy,0.045770400029141456,10750.0,178,2,0.01564409997081384,0.016163899970706552,11330.0,186,4,0.027453100017737597,0.005974100029561669,12489.0,205,8,0.03637950000120327,0.0029548999737016857,14306.0,245,16,0.040475100046023726
4,174,10585.0,0.15440030000172555,heavy,0.04464320000261068,11009.0,177,2,0.015813599980901927,0.015221300011035055,11291.0,188,4,0.027118399972096086,0.005905500031076372,12732.0,205,8,0.03472379996674135,0.0029362000059336424,14523.0,244,16,0.041090300015639514
5,176,11665.0,0.15702499996405095,heavy,0.04593730001943186,12144.0,180,2,0.01869480003369972,0.015572000003885478,12492.0,188,4,0.02855809999164194,0.0059852999984286726,13927.0,208,8,0.038088299974333495,0.00298539997311309,16130.0,250,16,0.04618880001362413
6,177,10403.0,0.15695460001006722,heavy,0.04614699998637661,10693.0,180,2,0.017215100000612438,0.01545910001732409,11155.0,187,4,0.02703180001117289,0.006674000003840774,12605.0,208,8,0.03643440001178533,0.0028903999482281506,14377.0,244,16,0.042411900009028614
7,179,10812.0,0.1553810000186786,heavy,0.045802999986335635,11010.0,180,2,0.01785780000500381,0.015188499994110316,11837.0,187,4,0.027834500011522323,0.006394699972588569,13023.0,205,8,0.035868800012394786,0.0034718000097200274,14793.0,244,16,0.04245830001309514
8,175,10654.0,0.15544210001826286,heavy,0.04569890000857413,11115.0,179,2,0.016244999947957695,0.01580410002497956,11659.0,186,4,0.026818099955562502,0.005941999959759414,13015.0,202,8,0.03614119999110699,0.0032398999901488423,14697.0,247,16,0.042482899967581034
9,178,11752.0,0.15676599997095764,heavy,0.0464405000093393,11737.0,182,2,0.01818369998363778,0.015541599947027862,12473.0,190,4,0.02856380003504455,0.006064700020942837,13697.0,208,8,0.03608029999304563,0.0028986999532207847,15690.0,247,16,0.046653299999888986
10,173,10410.0,0.15205229999264702,heavy,0.04542579996632412,10866.0,176,2,0.017359299992676824,0.01549469999736175,11247.0,185,4,0.02658140001585707,0.00585969997337088,12495.0,207,8,0.036170499981381,0.003096699947491288,14410.0,246,16,0.04572549997828901
11,175,11068.0,0.15518010000232607,heavy,0.0456154000130482,11204.0,178,2,0.017573799996171147,0.015969700005371124,11783.0,187,4,0.027376800018828362,0.006237800000235438,13055.0,206,8,0.03567549999570474,0.0028947999817319214,15096.0,248,16,0.04466910002520308
