matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,174,10149.0,2.7537481000181288,heavy_static,0.0177778999786824,10425.0,177,2,0.04072809999343008,0.11971850000554696,10916.0,186,4,0.2935391999781132,0.004232599982060492,12341.0,207,8,0.04146540001966059,0.002808599965646863,14100.0,246,16,0.05401189997792244
1,177,11409.0,0.03658190002897754,heavy_static,0.014545599988196045,11564.0,179,2,0.021577299979981035,0.007959799957461655,12420.0,187,4,0.03707290004240349,0.00404919998254627,13774.0,206,8,0.04663679999066517,0.0027831000043079257,15864.0,247,16,0.05654379999032244
2,177,10706.0,0.03774569998495281,heavy_static,0.016350399993825704,10813.0,178,2,0.018785699969157577,0.008705300046131015,11639.0,186,4,0.03436270001111552,0.0045495000085793436,12824.0,208,8,0.04429230000823736,0.00296920002438128,14784.0,245,16,0.05387120001250878
3,176,10457.0,0.03678990004118532,heavy_static,0.015145800018217415,10605.0,178,2,0.020042700052727014,0.008796700043603778,11089.0,186,4,0.033866999961901456,0.004257799999322742,12377.0,206,8,0.04477460001362488,0.0029482999816536903,14225.0,247,16,0.05010900000343099
4,174,10472.0,0.03794210002524778,heavy_static,0.015355800045654178,10843.0,177,2,0.017481699993368238,0.007880299992393702,11527.0,187,4,0.03315259999362752,0.004043799999635667,12762.0,204,8,0.043896199960727245,0.0028593000024557114,14738.0,243,16,0.05317799997283146
5,176,11508.0,0.03898730000946671,heavy_static,0.01673920004395768,11942.0,180,2,0.02342250000219792,0.008398000034503639,12754.0,188,4,0.036288000002969056,0.004040999978315085,13978.0,209,8,0.04835960001219064,0.002754499961156398,15823.0,250,16,0.060254499956499785
6,177,10190.0,0.04250179999507964,heavy_static,0.018883400014601648,10660.0,180,2,0.021922999992966652,0.008534500026144087,11238.0,187,4,0.03191479999804869,0.004281700006686151,12490.0,208,8,0.04201569996075705,0.0029792000423185527,14439.0,244,16,0.05360619997372851
7,179,10618.0,0.03721789998235181,heavy_static,0.014683499990496784,10852.0,180,2,0.020005700003821403,0.008417999953962862,11858.0,187,4,0.03516290005063638,0.004431300039868802,12927.0,205,8,0.04494130000239238,0.0027862999704666436,14855.0,247,16,0.05601550004212186
8,175,10693.0,0.03676320001250133,heavy_static,0.014584299991838634,10946.0,179,2,0.018731499963905662,0.008046999981161207,11517.0,186,4,0.03299560002051294,0.003922000003512949,12819.0,202,8,0.042983399995137006,0.0026855000178329647,14703.0,247,16,0.05456880002748221
9,178,11432.0,0.039670600031968206,heavy_static,0.016449599992483854,11693.0,182,2,0.01918240002123639,0.008088700007647276,12396.0,190,4,0.03615559998434037,0.003984699957072735,13788.0,209,8,0.047833000018727034,0.0025809999788179994,15711.0,246,16,0.05628499999875203
