matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,174,10171.0,0.32969550002599135,maximum,0.12208539998391643,10191.0,177,2,0.2078831999679096,0.0514911999925971,10501.0,186,4,0.45055050001246855,0.02349359996151179,11435.0,206,8,0.04147719999309629,0.013399999996181577,13088.0,243,16,0.0520247999811545
1,177,11300.0,0.3476172999944538,maximum,0.1371365999802947,11400.0,179,2,0.02237220003735274,0.05815329996403307,11723.0,187,4,0.0374671999597922,0.024537799996323884,12700.0,205,8,0.046006200020201504,0.013422499992884696,14476.0,247,16,0.06032950000371784
2,177,10650.0,0.3516900999820791,maximum,0.12863849999848753,10623.0,178,2,0.018464600027073175,0.05903950001811609,11090.0,186,4,0.03588119999039918,0.027386900037527084,11949.0,208,8,0.046374900033697486,0.015459800022654235,13661.0,247,16,0.056949299992993474
3,176,10352.0,0.35487770003965124,maximum,0.13158100005239248,10382.0,178,2,0.019922500010579824,0.05346409999765456,10695.0,186,4,0.03513670002575964,0.02604209998389706,11613.0,205,8,0.04354240000247955,0.017375400057062507,13170.0,245,16,0.05497689999174327
4,174,10470.0,0.33665860001929104,maximum,0.13523929996881634,10548.0,177,2,0.019172500004060566,0.05229279998457059,10962.0,187,4,0.033529300009831786,0.021873800025787205,11852.0,204,8,0.041644099983386695,0.01049429998965934,13416.0,243,16,0.04477560002123937
5,176,11703.0,0.2988815000280738,maximum,0.10969320003641769,11673.0,180,2,0.01844119996530935,0.04326480004237965,11993.0,188,4,0.029091100033838302,0.020308800041675568,13029.0,209,8,0.03943559998879209,0.011241699976380914,14722.0,251,16,0.04816270002629608
6,177,10242.0,0.29422570002498105,maximum,0.10830919997533783,10257.0,180,2,0.01621020003221929,0.04537150001851842,10618.0,187,4,0.030677700007800013,0.020684999995864928,11570.0,208,8,0.03674340003635734,0.010176700016018003,13124.0,244,16,0.04173269995953888
7,179,10640.0,0.2948539000353776,maximum,0.10562310001114383,10723.0,180,2,0.01729920000070706,0.041829199995845556,11115.0,187,4,0.02771609998308122,0.019593699951656163,11936.0,206,8,0.03801620000740513,0.010681500018108636,13620.0,244,16,0.04617400001734495
8,175,10630.0,0.28571199998259544,maximum,0.10767870000563562,10708.0,179,2,0.017431999964173883,0.04232309997314587,11040.0,186,4,0.03151570004411042,0.01998379995347932,11973.0,202,8,0.035608100006356835,0.01253589999396354,13637.0,247,16,0.043256200035102665
9,178,11418.0,0.3059598000254482,maximum,0.10978950001299381,11424.0,182,2,0.018371600017417222,0.04406859999289736,11797.0,190,4,0.030663999961689115,0.021009800024330616,12829.0,209,8,0.03763109998544678,0.012331999954767525,14459.0,246,16,0.05209930002456531
10,173,10272.0,0.29470410000067204,maximum,0.11606139998184517,10450.0,176,2,0.017610599985346198,0.0517274999874644,10715.0,185,4,0.032329300011042506,0.02185520000057295,11690.0,207,8,0.04056499997386709,0.011417499976232648,13241.0,246,16,0.053190500009804964
11,175,10838.0,0.31931880000047386,maximum,0.1187332000117749,11029.0,178,2,0.018611400038935244,0.054052399995271116,11296.0,187,4,0.03846529999282211,0.023940800048876554,12234.0,206,8,0.04387960000894964,0.012198899989016354,13861.0,247,16,0.055242499976884574
12,173,10792.0,0.3234609999926761,maximum,0.11673030001111329,10793.0,176,2,0.018611100036650896,0.04829740000423044,11173.0,185,4,0.031760499987285584,0.0216880000079982,12007.0,203,8,0.043648899998515844,0.012568099948111922,13645.0,249,16,0.055941900005564094
13,173,10600.0,0.32617660000687465,maximum,0.12175069999648258,10641.0,175,2,0.020728699979372323,0.06226560001960024,10979.0,184,4,0.035408099996857345,0.026371600048150867,11905.0,205,8,0.05156300001544878,0.013059600023552775,13446.0,243,16,0.057003900001291186
