matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,236,39818.0,1.2809985000058077,wfa,0.02641089999815449,33615.0,244,2,0.030250700016040355,0.015310099988710135,30703.0,257,4,0.3612948000081815,0.00850589998299256,29204.0,289,8,0.03527429996756837,0.005322600016370416,27564.0,334,16,0.04234179999912158
1,236,44360.0,0.03809230000479147,wfa,0.020184599969070405,37499.0,243,2,0.01871550001669675,0.014786100015044212,33417.0,254,4,0.03510980005376041,0.008077100035734475,31338.0,285,8,0.05429060000460595,0.0059519000351428986,30672.0,332,16,0.05180319998180494
2,225,40541.0,0.04088240000419319,wfa,0.02069669996853918,35390.0,242,2,0.01827249996131286,0.012728000001516193,31559.0,255,4,0.030644899990875274,0.007593100017402321,29672.0,282,8,0.03796610003337264,0.005572300055064261,28748.0,330,16,0.04470589995617047
3,240,40969.0,0.12055970000801608,wfa,0.022866000013891608,34539.0,247,2,0.0171820999821648,0.013680600037332624,31046.0,261,4,0.02951039996696636,0.007459499989636242,28637.0,285,8,0.036257300002034754,0.005577500036451966,27686.0,331,16,0.04308069997932762
4,232,41075.0,0.04240809998009354,wfa,0.02292180003132671,35208.0,242,2,0.017043499974533916,0.013523300003726035,31085.0,253,4,0.03276439994806424,0.007796699996106327,29535.0,284,8,0.0391617999994196,0.004788000020198524,28513.0,332,16,0.045472599973436445
5,232,43403.0,0.040094500000122935,wfa,0.021722899982705712,38133.0,240,2,0.020023300021421164,0.012516899965703487,34312.0,261,4,0.030025500047486275,0.007608399959281087,32010.0,286,8,0.04085240000858903,0.005094299966003746,30760.0,328,16,0.04803629999514669
6,225,39690.0,0.038824799994472414,wfa,0.021950499969534576,34718.0,243,2,0.018209700006991625,0.01205139997182414,31263.0,257,4,0.030455100000835955,0.007266600034199655,29506.0,291,8,0.03742499998770654,0.004740100004710257,28165.0,336,16,0.04385880002519116
7,241,42639.0,0.041352199972607195,wfa,0.02130840002791956,36073.0,242,2,0.019860100001096725,0.012759200006257743,31916.0,256,4,0.029236200032755733,0.0072966000298038125,30422.0,289,8,0.039436499995645136,0.004577299987431616,29175.0,332,16,0.04548809997504577
8,239,42044.0,0.039608500024769455,wfa,0.021383000013884157,35389.0,246,2,0.015614399977494031,0.011450499994680285,32040.0,259,4,0.02739810000639409,0.006955199991352856,30107.0,288,8,0.037187700043432415,0.004460100026335567,28691.0,325,16,0.04384930001106113
9,230,43383.0,0.03792660002363846,wfa,0.020302699995227158,37358.0,239,2,0.019205700024031103,0.011938700044993311,33255.0,254,4,0.030747000011615455,0.007087900012265891,31485.0,285,8,0.039226099965162575,0.00474549998762086,30521.0,337,16,0.048572400002740324
10,241,42228.0,0.039566799998283386,wfa,0.021495499997399747,35136.0,243,2,0.018435899983160198,0.012003000010736287,31464.0,257,4,0.028604899998754263,0.00726719998056069,29276.0,285,8,0.03745769994566217,0.004371100047137588,28089.0,331,16,0.04485880001448095
11,231,41689.0,0.038562499976251274,wfa,0.021274900005664676,35833.0,241,2,0.01817950000986457,0.011575899960007519,31896.0,257,4,0.029140700004063547,0.00716949999332428,29996.0,283,8,0.03651439998066053,0.004571600002236664,29242.0,331,16,0.04703479999443516
12,225,40970.0,0.03838879999238998,wfa,0.019599099992774427,35404.0,236,2,0.018149200011976063,0.012455599964596331,31251.0,248,4,0.029044399969279766,0.008895899984054267,29859.0,284,8,0.03709659999003634,0.004618599952664226,28580.0,328,16,0.04504180001094937
13,231,41940.0,0.038597300008405,wfa,0.021930199989583343,36388.0,242,2,0.017982000019401312,0.012163700012024492,32136.0,257,4,0.03155640000477433,0.007286900014150888,29489.0,283,8,0.03545169997960329,0.004616799997165799,28195.0,330,16,0.04534459998831153
14,228,39573.0,0.03872200002660975,wfa,0.020528000022750348,34221.0,243,2,0.016680500004440546,0.012286400015000254,30663.0,260,4,0.027290499943774194,0.006871199992019683,28983.0,284,8,0.03517930000089109,0.004604300018399954,27170.0,325,16,0.043663499993272126
15,233,42890.0,0.030898299999535084,wfa,0.02116750000277534,36105.0,238,2,0.01769309997325763,0.011830000032205135,31867.0,253,4,0.02815790002932772,0.007502200023736805,30374.0,283,8,0.03407510003307834,0.004763500008266419,29584.0,334,16,0.039854499977082014
16,235,41472.0,0.031069900025613606,wfa,0.02033480000682175,36051.0,245,2,0.017995300004258752,0.012018000008538365,31714.0,263,4,0.02886610000859946,0.00813540001399815,29813.0,285,8,0.038495799992233515,0.004762900003697723,28428.0,333,16,0.04404770000837743
17,232,43134.0,0.030410800012759864,wfa,0.021250099991448224,37506.0,244,2,0.017773700004909188,0.012070800003129989,33183.0,257,4,0.0312815000070259,0.007189999974798411,31187.0,287,8,0.03836439998121932,0.00610709999455139,29822.0,327,16,0.04847350000636652
18,233,42125.0,0.04177670000353828,wfa,0.022587499988730997,35956.0,243,2,0.019227300013881177,0.013638499949593097,31516.0,253,4,0.031007699959445745,0.00995179999154061,29954.0,284,8,0.04330040002241731,0.0056585000129416585,28819.0,332,16,0.05269320000661537
19,234,41501.0,0.03393159998813644,wfa,0.024468299990985543,35745.0,241,2,0.02066259999992326,0.014059500012081116,31588.0,255,4,0.03462980000767857,0.007963500043842942,29577.0,281,8,0.04455170000437647,0.005205499997828156,28767.0,331,16,0.05442840000614524
20,227,42643.0,0.03208120004273951,wfa,0.022001100005581975,37054.0,238,2,0.017960800032597035,0.013068199972622097,32843.0,256,4,0.03431209997506812,0.007744500006083399,30669.0,283,8,0.04475589998764917,0.0075391000136733055,29217.0,331,16,0.05349180003395304
