matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,541,9278.0,2.591551899968181,heavy,0.12955229997169226,9247.0,577,2,0.031151200004387647,0.05158680002205074,9558.0,568,4,0.03187960002105683,0.01845189998857677,9820.0,614,8,0.04212090000510216,0.052677700005006045,10414.0,723,16,0.04965460003586486
1,539,10463.0,0.33031009999103844,heavy,0.1184106000000611,10298.0,576,2,0.018280299962498248,0.05431530001806095,10483.0,566,4,0.03223339997930452,0.022055800014641136,11208.0,624,8,0.046768900007009506,0.010678399994503707,11610.0,728,16,0.06152920000022277
2,546,10079.0,0.3374086000258103,heavy,0.12199169996893033,9681.0,547,2,0.01752589998068288,0.04352159996051341,10016.0,569,4,0.030518700019456446,0.01907280000159517,10417.0,628,8,0.04152369999792427,0.00953730003675446,11019.0,749,16,0.052234700007829815
3,492,9574.0,0.3345600999891758,heavy,0.12458200001856312,9361.0,584,2,0.017792099970392883,0.04719469998963177,9719.0,583,4,0.028779399988707155,0.021027999988291413,10070.0,608,8,0.03898970002774149,0.008952400006819516,10701.0,740,16,0.05001639999682084
4,514,9796.0,0.3206631999928504,heavy,0.12063119997037575,9829.0,592,2,0.016299899958539754,0.048385800037067384,9910.0,589,4,0.030853400006890297,0.017454299959354103,10345.0,609,8,0.042706599982921034,0.008456299954559654,10841.0,705,16,0.05245880002621561
5,547,10813.0,0.34899939998285845,heavy,0.135467600019183,10547.0,571,2,0.018372700025793165,0.04505570000037551,10883.0,595,4,0.0342215999844484,0.020915500004775822,11262.0,629,8,0.045299399993382394,0.009811499970965087,11875.0,737,16,0.05569060001289472
6,552,9531.0,0.3417736000264995,heavy,0.11539170000469312,9280.0,545,2,0.017972800007555634,0.04627019999315962,9549.0,581,4,0.029832800035364926,0.017705600010231137,10162.0,609,8,0.04144530004123226,0.00887029996374622,10561.0,718,16,0.0524917000439018
7,547,9821.0,0.3235931999515742,heavy,0.11715409997850657,9916.0,589,2,0.019439099996816367,0.04648119997000322,9999.0,617,4,0.03201780002564192,0.018768000009004027,10407.0,630,8,0.04249580000760034,0.010018799977842718,10913.0,745,16,0.051843699999153614
8,550,9533.0,0.34645460004685447,heavy,0.11856079997960478,9727.0,569,2,0.018159300030674785,0.048080399981699884,10011.0,587,4,0.03054770000744611,0.019211300008464605,10518.0,646,8,0.039731500030029565,0.009806000045500696,10860.0,718,16,0.05206630000611767
9,526,10296.0,0.3527194000198506,heavy,0.11829320003744215,10473.0,603,2,0.018124900001566857,0.044731599977239966,10710.0,573,4,0.03115809999871999,0.01919300004374236,11076.0,621,8,0.044912700017448515,0.008674200042150915,11747.0,756,16,0.05307090003043413
10,534,9492.0,0.33951650001108646,heavy,0.11345619999337941,9619.0,566,2,0.016685399983543903,0.04689130000770092,9831.0,576,4,0.031732500006910414,0.019370099995285273,10209.0,626,8,0.04288520000409335,0.00874000001931563,10664.0,733,16,0.050557599985040724
11,542,10063.0,0.34091129997977987,heavy,0.12814390001585707,10135.0,616,2,0.017525300034321845,0.0443562000291422,10187.0,563,4,0.032491100020706654,0.020510800008196384,10546.0,614,8,0.04283140000188723,0.008980400045402348,11208.0,728,16,0.048782500030938536
12,524,9705.0,0.3089657999807969,heavy,0.11479879997204989,9795.0,564,2,0.01691850001225248,0.043337900016922504,9984.0,554,4,0.03250009997282177,0.018317299953196198,10419.0,621,8,0.04015859996434301,0.008656099962536246,11009.0,723,16,0.050648200034629554
