matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,374,10403.0,2.5279847999918275,heavy_static,0.038834799954202026,10156.0,387,2,0.03676310001173988,0.08030460000736639,10486.0,424,4,0.2717224000371061,0.008928800001740456,10758.0,478,8,0.04468809999525547,0.005134199978783727,11148.0,565,16,0.049062800011597574
1,366,11664.0,0.06889270001556724,heavy_static,0.03759620001073927,11567.0,391,2,0.01876739994622767,0.01624299999093637,11634.0,415,4,0.03348879999248311,0.008664999972097576,12010.0,468,8,0.043924600002355874,0.005051799991633743,12319.0,569,16,0.0547558999969624
2,378,10967.0,0.07594409998273477,heavy_static,0.034007999987807125,10766.0,384,2,0.016735400015022606,0.015627099957782775,10897.0,414,4,0.03203479998046532,0.008056399994529784,11191.0,467,8,0.04148529999656603,0.005746399983763695,11591.0,561,16,0.05104990000836551
3,367,10552.0,0.07022880000295117,heavy_static,0.03083200001856312,10600.0,387,2,0.015915800002403557,0.016165199980605394,10621.0,419,4,0.0326706999912858,0.008188499952666461,10850.0,472,8,0.04551809997064993,0.005223100015427917,11357.0,570,16,0.05317630001809448
4,366,10811.0,0.0676188999786973,heavy_static,0.029112400021404028,10650.0,383,2,0.016126200032886118,0.016177200013771653,10884.0,417,4,0.035603499971330166,0.008181499957572669,11134.0,473,8,0.04184499999973923,0.0051448000012896955,11526.0,561,16,0.05184159998316318
5,364,11803.0,0.07573340000817552,heavy_static,0.029733299976214767,11787.0,385,2,0.019021600019186735,0.0163254999788478,11802.0,415,4,0.03409650002140552,0.012569499958772212,12250.0,464,8,0.04702719999477267,0.007123299990780652,12712.0,565,16,0.06773619999876246
6,380,10593.0,0.09278010000707582,heavy_static,0.04386269999668002,10384.0,383,2,0.020443599962163717,0.018522500002291054,10597.0,421,4,0.03750530001707375,0.009530099981930107,10891.0,473,8,0.04659039998659864,0.006571800040546805,11230.0,560,16,0.061828000005334616
7,375,11009.0,0.09422420000191778,heavy_static,0.0398447000188753,10876.0,393,2,0.0200001000193879,0.018632199964486063,11100.0,426,4,0.03346599999349564,0.010513199958950281,11273.0,480,8,0.04544539999915287,0.007144899980630726,11667.0,570,16,0.056556800031103194
8,371,10981.0,0.0862360000028275,heavy_static,0.03699280001455918,10878.0,394,2,0.018535899987909943,0.01812760002212599,10903.0,416,4,0.03319049999117851,0.010012000042479485,11186.0,468,8,0.04280170000856742,0.007329899992328137,11653.0,563,16,0.05267000000458211
9,372,11629.0,0.09259770001517609,heavy_static,0.052874699991662055,11591.0,388,2,0.025331299984827638,0.021847399999387562,11698.0,425,4,0.039457300037611276,0.009562699997331947,12069.0,479,8,0.049532199976965785,0.006809099984820932,12305.0,569,16,0.058048299979418516
