matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,468,8279.0,0.5927834999747574,maximum,0.23457029997371137,8252.0,429,2,0.2485356000252068,0.09876029996667057,8338.0,469,4,0.44415410002693534,0.056984599970746785,8492.0,538,8,0.04864799999631941,0.030987399979494512,8898.0,677,16,0.06074560002889484
1,476,9269.0,0.5810277999844402,maximum,0.270903900032863,9273.0,469,2,0.02069069998105988,0.11542849999386817,9322.0,481,4,0.04359279997879639,0.052080800000112504,9518.0,530,8,0.053738599992357194,0.02680819999659434,9929.0,672,16,0.059300700027961284
2,539,8756.0,0.6245452000293881,maximum,0.25453119998564944,8673.0,463,2,0.018070900056045502,0.10738530004164204,8786.0,485,4,0.0342905999859795,0.05486969999037683,8918.0,529,8,0.045894799986854196,0.026082700002007186,9314.0,679,16,0.05309530004160479
3,517,8489.0,0.5792492000036873,maximum,0.21971529995789751,8448.0,462,2,0.017649799992796034,0.09263050003210083,8470.0,458,4,0.029934699996374547,0.04879780003102496,8704.0,566,8,0.04445849999319762,0.026241899991873652,9028.0,662,16,0.053782799979671836
4,465,8625.0,0.5872562000295147,maximum,0.22637220000615343,8613.0,452,2,0.01838550000684336,0.0955676999874413,8694.0,489,4,0.03367819997947663,0.04862659994978458,8888.0,552,8,0.04397590004373342,0.02619750000303611,9215.0,674,16,0.05320269998628646
5,516,9478.0,0.6416121000074781,maximum,0.23241440003039315,9454.0,479,2,0.021527999953832477,0.11971780000021681,9482.0,467,4,0.0367108000209555,0.05398079997394234,9738.0,563,8,0.053394599992316216,0.028428599995095283,10161.0,699,16,0.06000900000799447
6,467,8396.0,0.6004814000334591,maximum,0.23371409997344017,8388.0,460,2,0.020578900002874434,0.10706420004134998,8420.0,450,4,0.031034500047098845,0.05332319997251034,8632.0,541,8,0.04614290001336485,0.03277329995762557,8971.0,661,16,0.061122599989175797
7,541,8789.0,0.6289071000064723,maximum,0.22447399998782203,8744.0,508,2,0.022418699983973056,0.09374710003612563,8767.0,501,4,0.03267510002478957,0.056913700012955815,8953.0,558,8,0.046721499995328486,0.033422900014556944,9263.0,675,16,0.05422639998141676
8,490,8702.0,0.6574565999908373,maximum,0.26092510001035407,8674.0,456,2,0.017512999998871237,0.10686589998658746,8713.0,462,4,0.03475250001065433,0.05422539997380227,8952.0,570,8,0.045010300003923476,0.02584800001932308,9320.0,679,16,0.05248270003357902
9,550,9391.0,0.6371811000281014,maximum,0.2396623999811709,9335.0,516,2,0.0189319999772124,0.09790989995235577,9405.0,539,4,0.034036300028674304,0.06083319999743253,9567.0,545,8,0.046671300020534545,0.025918399973306805,9952.0,678,16,0.05813520000083372
10,539,8590.0,0.6104377000010572,maximum,0.22217570000793785,8535.0,491,2,0.01979569997638464,0.11380469996947795,8564.0,491,4,0.03924650000408292,0.053886800014879555,8733.0,535,8,0.04688430001260713,0.031176200020127,9096.0,672,16,0.0544946999871172
11,542,8995.0,0.6254374000127427,maximum,0.263160299975425,8995.0,523,2,0.018630500009749085,0.09645019995514303,8995.0,494,4,0.033296800043899566,0.045210500014945865,9130.0,533,8,0.04332669998984784,0.02465819998178631,9525.0,678,16,0.05533679999643937
12,482,8772.0,0.5726946999784559,maximum,0.2184405000298284,8764.0,464,2,0.020981999987270683,0.09345949999988079,8844.0,515,4,0.03228899999521673,0.040008599986322224,8987.0,532,8,0.04304479999700561,0.023399800003971905,9389.0,683,16,0.05151409999234602
13,526,8662.0,0.5163650999893434,maximum,0.20467619999544695,8602.0,497,2,0.017172400024719536,0.08307519997470081,8622.0,484,4,0.029871199978515506,0.04056779999518767,8803.0,539,8,0.03769620001548901,0.024015899980440736,9193.0,671,16,0.04709019995061681
14,469,8099.0,0.5298594000050798,maximum,0.21167300001252443,8081.0,457,2,0.01621020003221929,0.09480250003980473,8135.0,476,4,0.03178010002011433,0.04634489997988567,8309.0,547,8,0.04543370002647862,0.02462129999184981,8667.0,667,16,0.050267099984921515
15,491,9031.0,0.5642731999978423,maximum,0.20907250000163913,9042.0,492,2,0.016034999978728592,0.09197810001205653,9026.0,440,4,0.030521899985615164,0.04540549998637289,9272.0,555,8,0.04246229998534545,0.02552980004111305,9680.0,682,16,0.04541979997884482
16,477,8622.0,0.5553815000457689,maximum,0.2056122000212781,8615.0,457,2,0.019602699961978942,0.09147660003509372,8650.0,456,4,0.03187989996513352,0.040764099976513535,8896.0,548,8,0.04126739996718243,0.024218699953053147,9212.0,670,16,0.046991300012450665
17,471,9233.0,0.5421277999994345,maximum,0.218631700030528,9269.0,502,2,0.01623850001487881,0.09580599999753758,9267.0,472,4,0.036108799977228045,0.04180490004364401,9519.0,557,8,0.04373430000850931,0.035947500029578805,9858.0,671,16,0.05373309995047748
18,466,8690.0,0.5743094999925233,maximum,0.2152751999674365,8675.0,450,2,0.018110300006810576,0.09929000004194677,8795.0,517,4,0.03202019998570904,0.04998830001568422,8961.0,574,8,0.045764399983454496,0.025530499988235533,9316.0,669,16,0.05317219998687506
19,470,8775.0,0.5736012000124902,maximum,0.2118293999810703,8739.0,422,2,0.019144900026731193,0.09836960001848638,8852.0,498,4,0.03439729998353869,0.04514619999099523,9030.0,551,8,0.04618329997174442,0.026489100011531264,9379.0,653,16,0.04951399995479733
20,467,8965.0,0.5603805999853648,maximum,0.21022760000778362,8925.0,430,2,0.01685159996850416,0.09229010000126436,9021.0,476,4,0.033358899992890656,0.0461350999539718,9189.0,537,8,0.04307789995800704,0.02718600002117455,9589.0,675,16,0.05259249999653548
21,405,8170.0,0.5463983000372536,maximum,0.21665860002394766,8183.0,418,2,0.01874530001077801,0.09755090001272038,8264.0,460,4,0.03328319999855012,0.04733710002619773,8458.0,536,8,0.04190899996319786,0.024542100029066205,8819.0,663,16,0.05277880001813173
22,513,8712.0,0.6200409000157379,maximum,0.2403002000064589,8738.0,525,2,0.01793319999706,0.09755649999715388,8747.0,485,4,0.03142170002683997,0.044945299974642694,8923.0,537,8,0.0406020000227727,0.0259947000304237,9325.0,694,16,0.052015300025232136
23,466,8402.0,0.5540777000132948,maximum,0.22954989998834208,8389.0,447,2,0.017110399960074574,0.10095150000415742,8450.0,468,4,0.031624299997929484,0.047890499990899116,8615.0,514,8,0.04198849998647347,0.026973000029101968,8989.0,660,16,0.05324010003823787
24,396,8526.0,0.5644196000066586,maximum,0.21411390003049746,8588.0,453,2,0.019330100039951503,0.09278899995842949,8608.0,436,4,0.03396040003281087,0.049095100024715066,8879.0,568,8,0.04212530003860593,0.02666610002052039,9181.0,662,16,0.05427219998091459
25,486,8506.0,0.5877445000223815,maximum,0.2173458999604918,8499.0,471,2,0.022316499962471426,0.10085960000287741,8536.0,480,4,0.033852300024591386,0.04691749997437,8728.0,553,8,0.04472700000042096,0.028005900036077946,9120.0,682,16,0.05494389997329563
26,431,8519.0,0.5553610000060871,maximum,0.21630319999530911,8536.0,447,2,0.0184548000106588,0.09721989999525249,8618.0,487,4,0.035092699981760234,0.0493877999833785,8787.0,544,8,0.044379400031175464,0.027635699952952564,9148.0,657,16,0.05763629998546094
27,452,8634.0,0.561895499995444,maximum,0.2310612000292167,8621.0,427,2,0.01784889999544248,0.09329920000163838,8671.0,454,4,0.03145890001906082,0.047834199969656765,8894.0,548,8,0.045785199967212975,0.026269899972248822,9251.0,662,16,0.0522171999909915
28,448,9016.0,0.5828406999935396,maximum,0.2171362999943085,8990.0,422,2,0.021300800028257072,0.09766609995858744,9073.0,467,4,0.0359234000206925,0.051142600015737116,9307.0,544,8,0.04683680000016466,0.03263510001124814,9703.0,692,16,0.056829000008292496
29,487,8841.0,0.615398499998264,maximum,0.2225929000414908,8787.0,437,2,0.01901340001495555,0.09533989999908954,8884.0,488,4,0.03331369999796152,0.048289199999999255,9065.0,551,8,0.045342299970798194,0.0261739999987185,9456.0,685,16,0.05478329997276887
30,478,8778.0,0.5832265999633819,maximum,0.2271646999870427,8775.0,482,2,0.01686949998838827,0.10808340000221506,8784.0,456,4,0.030351500026881695,0.04529880004702136,8987.0,527,8,0.04587540001375601,0.02704939997056499,9376.0,675,16,0.050730699964333326
31,510,8857.0,0.6037100999965332,maximum,0.23778959998162463,8842.0,488,2,0.020117899985052645,0.10513959999661893,8933.0,524,4,0.03598559997044504,0.05023719999007881,9120.0,574,8,0.04519199999049306,0.02994640002725646,9461.0,684,16,0.05668709997553378
32,552,9155.0,0.6528413000050932,maximum,0.24376979999942705,9094.0,501,2,0.020396100007928908,0.10781080002197996,9108.0,479,4,0.03521880001062527,0.05385450000176206,9348.0,573,8,0.04537730000447482,0.029580799979157746,9665.0,665,16,0.05770130001474172
33,553,9298.0,0.6248344999621622,maximum,0.2640240999753587,9298.0,560,2,0.022048300015740097,0.10406719997990876,9230.0,487,4,0.036546300048939884,0.050415300007443875,9459.0,561,8,0.04582010000012815,0.02759650000371039,9801.0,657,16,0.05447879998246208
34,518,8293.0,0.6456706000026315,maximum,0.24439830001210794,8219.0,446,2,0.022204300039447844,0.10577140003442764,8269.0,463,4,0.034821600012946874,0.05135510000400245,8484.0,573,8,0.04461580002680421,0.03655589994741604,8815.0,679,16,0.06060969998361543
35,472,8784.0,0.5992371000465937,maximum,0.22272570000495762,8741.0,450,2,0.016615499975159764,0.09529210004257038,8793.0,462,4,0.027884399984031916,0.046322999987751245,8982.0,542,8,0.039420200046151876,0.025812799984123558,9368.0,669,16,0.04740729997865856
36,438,8667.0,0.5826243000337854,maximum,0.22612200002186,8693.0,461,2,0.016953599988482893,0.09572699997806922,8746.0,478,4,0.030527500028256327,0.04611540003679693,8937.0,544,8,0.041382099967449903,0.025868400000035763,9315.0,674,16,0.04911920003360137
37,520,8613.0,0.5538193000247702,maximum,0.22616419999394566,8546.0,530,2,0.018222799990326166,0.09570860001258552,8479.0,476,4,0.03227219998370856,0.044705200009047985,8638.0,532,8,0.04252619994804263,0.027995900018140674,9003.0,654,16,0.05325649998849258
38,456,8344.0,0.5602006000117399,maximum,0.2050405999762006,8327.0,431,2,0.01758240000344813,0.09057569998549297,8373.0,442,4,0.035009399987757206,0.04827860003570095,8632.0,594,8,0.04255140002351254,0.025440199999138713,8998.0,690,16,0.049636000010650605
39,465,9266.0,0.5783671999815851,maximum,0.21977199998218566,9266.0,464,2,0.0209364999900572,0.09072959999321029,9327.0,490,4,0.03124130005016923,0.04732559999683872,9545.0,570,8,0.04160940001020208,0.02646129997447133,9938.0,673,16,0.05097330000717193
40,541,8982.0,0.5673928000032902,maximum,0.21844979998422787,8990.0,533,2,0.01832759997341782,0.097274900006596,8982.0,509,4,0.033194599964190274,0.0449398000491783,9195.0,563,8,0.04485970002133399,0.026539700047578663,9536.0,661,16,0.05226319999201223
41,500,9128.0,0.5934805999859236,maximum,0.23187130002770573,9148.0,509,2,0.02032040001358837,0.1089219999848865,9237.0,558,4,0.03578649996779859,0.046181100013200194,9384.0,570,8,0.04393389995675534,0.02626849996158853,9721.0,664,16,0.054852699977345765
