matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
0,454,14997.0,1.7334639999899082,wfa,0.054097400046885014,15324.0,474,2,0.03529820003313944,0.03451659996062517,15761.0,508,4,0.43430250004166737,0.02054820000194013,16201.0,576,8,0.048912999976892024,0.013096599956043065,16358.0,688,16,0.056697399995755404
1,457,17074.0,0.10805569996591657,wfa,0.06400110002141446,17595.0,480,2,0.03136000002268702,0.032084800011944026,17642.0,513,4,0.04253550001885742,0.0819105000118725,18192.0,581,8,0.056153499986976385,0.014552499982528389,18275.0,686,16,0.07425659999717027
2,446,15486.0,0.08692239999072626,wfa,0.055985999992117286,16333.0,481,2,0.0197825999930501,0.02975190000142902,16213.0,508,4,0.03490670002065599,0.017342599981930107,16735.0,576,8,0.04679619998205453,0.011087699967902154,16818.0,680,16,0.054329600010532886
3,470,15940.0,0.09064459998626262,wfa,0.04709130001720041,15990.0,485,2,0.019342100014910102,0.028287600027397275,16094.0,513,4,0.03542680002283305,0.018486299959477037,16524.0,580,8,0.04619239998282865,0.012377100007142872,16522.0,689,16,0.055594899982679635
4,461,15907.0,0.09605330001795664,wfa,0.05016529996646568,15861.0,475,2,0.017910199996549636,0.029351499979384243,16099.0,507,4,0.03565930004697293,0.017541800043545663,16791.0,579,8,0.04505259997677058,0.01127489999635145,16964.0,681,16,0.053842400026042014
5,460,17349.0,0.09171050001168624,wfa,0.052665800030808896,17269.0,477,2,0.023438200005330145,0.03152099996805191,17970.0,513,4,0.03932610002811998,0.018123999994713813,18236.0,581,8,0.05080879997694865,0.011777499981690198,18445.0,693,16,0.060223700013011694
6,448,15068.0,0.08745300001464784,wfa,0.05075829999987036,15622.0,473,2,0.021897000027820468,0.028229500050656497,16236.0,516,4,0.03423879999900237,0.019132399989757687,16482.0,583,8,0.04683320003096014,0.010828699974808842,16631.0,690,16,0.054120699991472065
7,452,15505.0,0.09320050000678748,wfa,0.04751350003061816,15975.0,474,2,0.02271439996547997,0.02755190001334995,16252.0,509,4,0.03504590003285557,0.017259599990211427,16884.0,575,8,0.05130020005162805,0.0116037999978289,17017.0,685,16,0.05497060000197962
8,456,15744.0,0.09330419998150319,wfa,0.047720300033688545,16016.0,474,2,0.02007109997794032,0.027873100014403462,16438.0,513,4,0.03566029999637976,0.017686600040178746,16821.0,577,8,0.04256959998747334,0.01120250002713874,16964.0,689,16,0.054628800018690526
9,454,16804.0,0.08120110002346337,wfa,0.04337680002208799,17199.0,481,2,0.018733000033535063,0.02542429999448359,17208.0,507,4,0.031733799958601594,0.015879500017035753,17806.0,581,8,0.04105550004169345,0.01095660001737997,17896.0,684,16,0.0541050000465475
10,464,15887.0,0.08248470001854002,wfa,0.04526020004414022,15710.0,476,2,0.017473700048867613,0.0262110999901779,16058.0,509,4,0.03419420000864193,0.01671680004801601,16596.0,578,8,0.041035100002773106,0.01127810002071783,16407.0,682,16,0.05411830003140494
11,459,16101.0,0.0824136000010185,wfa,0.04509149998193607,16311.0,473,2,0.02228039997862652,0.027009400015231222,16542.0,508,4,0.033459800004493445,0.01555389998247847,17035.0,576,8,0.04169789998559281,0.010573100007604808,17245.0,688,16,0.0550474000046961
12,451,15614.0,0.06926540000131354,wfa,0.04444809997221455,15694.0,466,2,0.01886810001451522,0.03124849998857826,16201.0,505,4,0.0325887999497354,0.016006099991500378,16530.0,568,8,0.043844499974511564,0.012059699976816773,16958.0,684,16,0.050773900002241135
13,455,15749.0,0.07124940003268421,wfa,0.04765870003029704,15781.0,474,2,0.018218800018075854,0.03359060001093894,16118.0,507,4,0.03358320001279935,0.015685000049415976,16484.0,571,8,0.04335960000753403,0.010333500045817345,16765.0,682,16,0.04431450000265613
14,448,14653.0,0.06475039996439591,wfa,0.0440019000088796,15048.0,476,2,0.016398900013882667,0.025078200036659837,15282.0,508,4,0.027072600030805916,0.01625159999821335,15857.0,572,8,0.03769680002005771,0.01190030004363507,15748.0,681,16,0.04301389999454841
15,458,16423.0,0.08053200005088001,wfa,0.04589409998152405,16711.0,474,2,0.01723419997142628,0.025203199998941272,16890.0,509,4,0.028109899954870343,0.014904700045008212,17287.0,572,8,0.036066100001335144,0.010844299977179617,17512.0,683,16,0.04197059996658936
16,453,15606.0,0.06519399996614084,wfa,0.046259299968369305,15753.0,475,2,0.01770660001784563,0.02547759999288246,16318.0,516,4,0.028545400011353195,0.01775269996142015,16631.0,580,8,0.03640009998343885,0.01100979995680973,16999.0,691,16,0.04220319999149069
17,453,16681.0,0.06571910000639036,wfa,0.045490299991797656,16997.0,475,2,0.017943299957551062,0.025413300027139485,17296.0,508,4,0.029608799959532917,0.01573460001964122,17909.0,579,8,0.03665329999057576,0.009738199994899333,17700.0,683,16,0.04584079998312518
18,464,16038.0,0.06897520000347868,wfa,0.045726199983619153,16166.0,479,2,0.018210599955637008,0.026697599969338626,16400.0,510,4,0.0311076000216417,0.015466200013179332,16695.0,573,8,0.03863000002456829,0.010310899990145117,17068.0,687,16,0.043839799996931106
19,459,16124.0,0.06885640003019944,wfa,0.049157199973706156,16374.0,475,2,0.01858220004942268,0.026465600007213652,16699.0,511,4,0.03194349998375401,0.014418400009162724,16967.0,577,8,0.03590930002974346,0.009247100038919598,17087.0,685,16,0.043328800005838275
20,440,15693.0,0.06098399998154491,wfa,0.04063730000052601,16452.0,470,2,0.016291300009470433,0.024073699954897165,16888.0,511,4,0.02843659999780357,0.015569600043818355,17373.0,580,8,0.03677070001140237,0.010254700027871877,17337.0,680,16,0.04214320000028238
21,455,14751.0,0.06375719996867701,wfa,0.04110110003966838,14940.0,473,2,0.016911800019443035,0.027042499976232648,15204.0,505,4,0.028400100010912865,0.014755700016394258,15650.0,569,8,0.03906560002360493,0.07189150003250688,16073.0,684,16,0.045167600037530065
22,445,15447.0,0.06316890002926812,wfa,0.04061810002895072,15946.0,470,2,0.016358099994249642,0.024413499981164932,16221.0,504,4,0.025857500033453107,0.015710500010754913,16656.0,566,8,0.03217919997405261,0.010987099958583713,16788.0,681,16,0.04235270002391189
23,460,15534.0,0.06538919999729842,wfa,0.04069789999630302,15653.0,472,2,0.016712900018319488,0.02380660001654178,15837.0,504,4,0.02602289995411411,0.014281800016760826,16084.0,568,8,0.03862810001010075,0.009260600025299937,16420.0,674,16,0.041328499966766685
24,445,15106.0,0.06096329999854788,wfa,0.04297509999014437,15736.0,472,2,0.017031700001098216,0.0243427999666892,16171.0,510,4,0.0305804000236094,0.01898360002087429,16836.0,577,8,0.03690690000075847,0.01001720002386719,16858.0,690,16,0.0430470000137575
25,457,15454.0,0.07756879995577037,wfa,0.043358599999919534,15832.0,479,2,0.017290999996475875,0.02439289999892935,16234.0,516,4,0.02876229997491464,0.015267400012817234,16628.0,582,8,0.03498199995374307,0.008970599970780313,16568.0,681,16,0.042311099998187274
26,454,15433.0,0.06085250002797693,wfa,0.040435199975036085,15791.0,471,2,0.017332299961708486,0.023601200024131685,16123.0,507,4,0.027069700008723885,0.013944200007244945,16400.0,571,8,0.033948600001167506,0.009157099993899465,16881.0,697,16,0.04170139995403588
27,433,15088.0,0.0584927000454627,wfa,0.04087590001290664,15654.0,460,2,0.015833300014492124,0.02282690000720322,16145.0,503,4,0.025563200004398823,0.014142300002276897,16627.0,567,8,0.03344440000364557,0.0091281000059098,16682.0,679,16,0.040999400021974
28,465,16834.0,0.06230340001638979,wfa,0.04103739996207878,17037.0,481,2,0.01767400000244379,0.024012900015804917,16983.0,513,4,0.02913300000363961,0.014313499967101961,17630.0,579,8,0.03875099995639175,0.009552399977110326,17786.0,694,16,0.045303899969439954
