matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_16_time,heavy_16_cycle,heavy_16_perms,heavy_16_planes,heavy_16_split,heavy_2_time,heavy_2_cycle,heavy_2_perms,heavy_2_planes,heavy_2_split,heavy_4_time,heavy_4_cycle,heavy_4_perms,heavy_4_planes,heavy_4_split,heavy_8_time,heavy_8_cycle,heavy_8_perms,heavy_8_planes,heavy_8_split
0,1130,7790.0,2.9337095999799203,heavy,0.8360926000168547,8414.0,1410,3,,2.129855400067754,11164.0,636,9,,0.1469743000343442,9738.0,867,5,,0.4155317000113427,9326.0,1150,3,
1,1132,8743.0,1.4658323999901768,heavy,1.029594299965538,9671.0,1446,3,,0.1172464000992477,12103.0,668,9,,0.1583332999143749,10831.0,915,5,,0.4629117000149563,10287.0,1200,3,
2,1129,8178.0,1.412607999984175,heavy,0.9039797999430448,8914.0,1450,3,,0.0330910000484436,11520.0,667,9,,0.1763103000121191,10178.0,913,5,,0.4330216000089422,9818.0,1214,3,
3,1108,7950.0,1.3885897000145633,heavy,0.8771868000039831,8670.0,1441,3,,0.0340365000301972,11204.0,673,9,,0.1632268000394106,9906.0,911,5,,0.429041700088419,9566.0,1192,3,
4,1109,8126.0,1.4183347999933176,heavy,0.9574357001110912,8782.0,1415,3,,0.0366394000593572,11210.0,668,9,,0.1845291000790894,9994.0,905,5,,0.4820239000255242,9662.0,1165,3,
5,1131,8907.0,1.4169787999999244,heavy,0.8800285999896005,9611.0,1479,3,,0.0312849000329151,12227.0,682,9,,0.1700653000734746,10955.0,935,5,,0.4597779000177979,10587.0,1244,3,
6,1148,7901.0,1.4653837000078056,heavy,0.9916361999930814,8605.0,1430,3,,0.0343465999467298,10823.0,653,9,,0.1638929999899119,9649.0,905,5,,0.4863988999277353,9333.0,1208,3,
7,1181,8173.0,1.5050998000078837,heavy,0.8366423998959363,8845.0,1417,3,,0.0290636999998241,11167.0,643,9,,0.1409786998992785,10369.0,892,5,,0.4266652999212965,10077.0,1205,3,
8,1121,8178.0,1.420457100000931,heavy,1.0097046999726444,8802.0,1379,3,,0.034091499983333,11410.0,662,9,,0.1677771999966353,10314.0,899,5,,0.4533466000575572,10002.0,1174,3,
9,1139,8759.0,1.4760493000212591,heavy,1.1043842999497429,9687.0,1463,3,,0.0464530999306589,12445.0,681,9,,0.2290940000675618,11175.0,938,5,,0.4836704999906942,10663.0,1262,3,
10,1082,8005.0,1.3461063000140712,heavy,0.8705695000244305,8629.0,1368,3,,0.0353344000177457,10851.0,652,9,,0.1626763000385835,9801.0,895,5,,0.4231849000789225,9461.0,1167,3,
11,1119,8391.0,1.444612599996617,heavy,0.9941033000359312,9015.0,1419,3,,0.0344283001031726,11505.0,660,9,,0.1739769000560045,10367.0,904,5,,0.44820250000339,10055.0,1225,3,
12,1085,8245.0,1.3424866999848746,heavy,0.9430135999573396,8901.0,1406,3,,0.0353387999348342,11543.0,662,9,,0.1619550000177696,10129.0,910,5,,0.4196215999545529,9813.0,1182,3,
13,1130,8055.0,1.4384662999946158,heavy,0.9472731999121606,8711.0,1400,3,,0.0428637000732123,11039.0,651,9,,0.1896085999906063,9923.0,894,5,,0.4918724000453949,9511.0,1188,3,
14,1127,7590.0,1.4124220000230707,heavy,0.8917141000274569,8214.0,1378,3,,0.0371761000715196,10486.0,641,9,,0.1601403000531718,9722.0,898,5,,0.4119822999928146,9366.0,1154,3,
15,1114,8496.0,1.4306094000057783,heavy,0.9096470000222324,9152.0,1403,3,,0.0371226000133901,11748.0,667,9,,0.1548403999768197,10232.0,889,5,,0.4384665000252425,9904.0,1185,3,
16,1149,8113.0,1.4595719999924768,heavy,0.9504493999993427,8705.0,1357,3,,0.0352488999487832,11157.0,671,9,,0.1656480999663472,10025.0,908,5,,0.4882344000507146,9689.0,1202,3,
17,1128,8710.0,1.4175423000124283,heavy,0.8850187000352889,9622.0,1447,3,,0.0422770000295713,12354.0,668,9,,0.2086336000356823,10870.0,912,5,,0.5046956000151113,10406.0,1200,3,
18,1148,8183.0,1.466616699995939,heavy,1.0427609001053495,8791.0,1379,3,,0.033945900038816,11299.0,661,9,,0.1734774999786168,10039.0,905,5,,0.4575512000592425,9815.0,1216,3,
19,1132,8277.0,1.4231468999932986,heavy,0.9047848000191152,8981.0,1414,3,,0.0326604000292718,11415.0,657,9,,0.1583663000492379,10041.0,893,5,,0.4370274000102654,9693.0,1160,3,
20,1126,8446.0,1.4443273000069894,heavy,0.987376100034453,9150.0,1436,3,,0.0375133000779897,11478.0,668,9,,0.1758089000359177,10378.0,908,5,,0.5217602000338957,10046.0,1179,3,
21,1140,7743.0,1.4448175000143235,heavy,0.9805007999530062,8351.0,1341,3,,0.0324480000417679,10795.0,636,9,,0.1628518999787047,9671.0,880,5,,0.4819140000035986,9327.0,1169,3,
22,1123,8168.0,1.41104949999135,heavy,0.9722615999635308,8824.0,1411,3,,0.0441668999847024,11490.0,646,9,,0.1941381000215187,10176.0,890,5,,0.4400171999586746,9856.0,1185,3,
