matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_static_16_time,heavy_static_16_cycle,heavy_static_16_perms,heavy_static_16_planes,heavy_static_16_split,heavy_static_2_time,heavy_static_2_cycle,heavy_static_2_perms,heavy_static_2_planes,heavy_static_2_split,heavy_static_4_time,heavy_static_4_cycle,heavy_static_4_perms,heavy_static_4_planes,heavy_static_4_split,heavy_static_8_time,heavy_static_8_cycle,heavy_static_8_perms,heavy_static_8_planes,heavy_static_8_split
0,7328,7790.0,3.0646843000140507,heavy_static,0.2262242999859154,8414.0,1739,3,,2.143575399997644,11164.0,636,9,,0.0525855999439954,9738.0,881,5,,0.1144064998952671,9326.0,1322,3,
1,8071,8743.0,1.2814619000128005,heavy_static,0.2627341999905184,9671.0,1857,3,,0.0542773000197485,12103.0,668,9,,0.0536426999606192,10831.0,933,5,,0.118995500029996,10287.0,1394,3,
2,7640,8178.0,1.181407299998682,heavy_static,0.2480204000603407,8914.0,1816,3,,0.0216465000994503,11520.0,667,9,,0.0650205999845638,10178.0,934,5,,0.1213977999286726,9818.0,1395,3,
3,7475,7950.0,1.0876753000193276,heavy_static,0.2437888999702409,8670.0,1825,3,,0.0228980000829324,11140.0,672,9,,0.0541520999977365,9906.0,926,5,,0.124035199987702,9566.0,1380,3,
4,7570,8126.0,1.1496574000047983,heavy_static,0.2946530000772327,8782.0,1840,3,,0.0205102999461814,11210.0,668,9,,0.0659006000496447,9994.0,922,5,,0.1502847000956535,9662.0,1340,3,
5,8231,8907.0,1.1802357999840751,heavy_static,0.2815752999158576,9611.0,1892,3,,0.0222571999765932,12227.0,682,9,,0.063254699925892,10955.0,945,5,,0.1452103999909013,10587.0,1418,3,
6,7381,7901.0,1.0525641000131143,heavy_static,0.2848359999479726,8605.0,1839,3,,0.0198954000370576,10823.0,653,9,,0.0657033999450504,9585.0,918,5,,0.171720499987714,9397.0,1377,3,
7,7578,8173.0,1.0860873999772591,heavy_static,0.2383506000041961,8829.0,1786,3,,0.0253212000243365,11167.0,643,9,,0.0537262000143528,10369.0,905,5,,0.1320089000510051,10077.0,1343,3,
8,7632,8178.0,1.070226100011496,heavy_static,0.2892547999508679,8802.0,1761,3,,0.0193941000616177,11410.0,662,9,,0.0638305000029504,10314.0,908,5,,0.1418381999246776,10002.0,1343,3,
9,8109,8759.0,1.1706858999968972,heavy_static,0.3162056000437587,9687.0,1867,3,,0.0202665000688284,12445.0,681,9,,0.0684148001018911,11175.0,949,5,,0.1431770999915897,10663.0,1429,3,
10,7470,8005.0,1.0808221000188496,heavy_static,0.2404553999658674,8629.0,1811,3,,0.0170875999610871,10851.0,652,9,,0.058817800018005,9801.0,909,5,,0.1259668000275269,9461.0,1332,3,
11,7773,8391.0,1.118256999994628,heavy_static,0.2718457999872044,9015.0,1786,3,,0.0186187999788671,11505.0,660,9,,0.0695643000071868,10367.0,922,5,,0.1360590999247506,10055.0,1376,3,
12,7653,8245.0,1.0738667999976317,heavy_static,0.2770696999505162,8901.0,1818,3,,0.018004999961704,11479.0,661,9,,0.054691799916327,10129.0,923,5,,0.123124000034295,9813.0,1358,3,
13,7504,8055.0,1.08228629999212,heavy_static,0.2707752999849617,8711.0,1799,3,,0.0193533999845385,11039.0,651,9,,0.0581479000393301,9923.0,908,5,,0.1309849000535905,9511.0,1337,3,
14,7080,7590.0,1.026967700017849,heavy_static,0.2616375000216067,8214.0,1720,3,,0.0166220000246539,10486.0,641,9,,0.0585370999760925,9722.0,905,5,,0.1200047000311315,9366.0,1312,3,
15,7917,8496.0,1.1635542000003625,heavy_static,0.2804991999873891,9152.0,1816,3,,0.0165656999452039,11748.0,667,9,,0.057661100057885,10232.0,904,5,,0.125928399967961,9904.0,1360,3,
16,7585,8113.0,1.1894727000035346,heavy_static,0.2789634000509977,8705.0,1788,3,,0.0166602999670431,11157.0,671,9,,0.0582005999749526,10025.0,927,5,,0.1470359999220818,9689.0,1381,3,
17,8076,8710.0,1.1105121000146028,heavy_static,0.2526598999975249,9606.0,1865,3,,0.0188092000316828,12354.0,668,9,,0.0632713999366387,10870.0,931,5,,0.1626004999270662,10406.0,1377,3,
