matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_16_time,maximum_16_cycle,maximum_16_perms,maximum_16_planes,maximum_16_split,maximum_2_time,maximum_2_cycle,maximum_2_perms,maximum_2_planes,maximum_2_split,maximum_4_time,maximum_4_cycle,maximum_4_perms,maximum_4_planes,maximum_4_split,maximum_8_time,maximum_8_cycle,maximum_8_perms,maximum_8_planes,maximum_8_split
0,469,7790.0,0.7677588999504223,maximum,0.8762175000738353,8526.0,839,3,,0.0627490000333637,11164.0,636,9,,0.14047240000218153,9738.0,643,5,,0.373145499965176,9326.0,746,3,
1,488,8743.0,0.7740185000002384,maximum,0.9615110999438912,9671.0,860,3,,0.062420799979008734,12111.0,669,9,,0.16379569994751364,10831.0,655,5,,0.3821107998955995,10287.0,781,3,
2,478,8178.0,0.8359829999972135,maximum,0.8234098000684753,8914.0,910,3,,0.06917739997152239,11520.0,667,9,,0.1448862999677658,10178.0,674,5,,0.4068389000603929,9818.0,787,3,
3,474,7950.0,0.7787063999567181,maximum,0.820357899996452,8670.0,897,3,,0.061014699982479215,11140.0,672,9,,0.13235159998293966,9922.0,674,5,,0.3189255999168381,9566.0,772,3,
4,488,8126.0,0.7937275000149384,maximum,0.8325750000076368,8782.0,834,3,,0.06152250000741333,11210.0,668,9,,0.13699319993611425,10026.0,653,5,,0.3611569000640884,9742.0,768,3,
5,486,8907.0,0.8413654000032693,maximum,0.8092730999924242,9611.0,874,3,,0.07969229994341731,12227.0,682,9,,0.16961550002451986,10955.0,672,5,,0.4421106999507174,10587.0,779,3,
6,473,7901.0,0.7417943000327796,maximum,0.8224766000639647,8605.0,862,3,,0.05962259997613728,10823.0,653,9,,0.12818160001188517,9593.0,651,5,,0.3483550000237301,9333.0,752,3,
7,475,8173.0,0.7463631998980418,maximum,0.8211703000124544,8829.0,839,3,,0.0572369999717921,11167.0,643,9,,0.13135350006632507,10561.0,668,5,,0.35432450007647276,10077.0,776,3,
8,478,8178.0,0.7543313000351191,maximum,0.9080108000198379,8802.0,814,3,,0.06064210005570203,11410.0,662,9,,0.15404880000278354,10314.0,652,5,,0.38368890003766865,10002.0,753,3,
9,482,8759.0,0.8004584999289364,maximum,0.837583800079301,9703.0,874,3,,0.06274570000823587,12701.0,683,9,,0.14043170004151762,11303.0,692,5,,0.3713554999558255,10791.0,835,3,
10,473,8005.0,0.7468204000033438,maximum,0.7917960000922903,8629.0,804,3,,0.05991050007287413,10851.0,652,9,,0.1357340000104159,9801.0,646,5,,0.3487747999606654,9461.0,751,3,
11,486,8391.0,0.8157198999542743,maximum,0.7640457999659702,9015.0,827,3,,0.058604000019840896,11505.0,660,9,,0.1380765000358224,10367.0,657,5,,0.339325699955225,10119.0,787,3,
12,486,8245.0,0.798704499960877,maximum,0.8089284000452608,8933.0,846,3,,0.06779669993557036,11479.0,661,9,,0.13896330003626645,10129.0,670,5,,0.3360013000201434,9813.0,758,3,
13,471,8055.0,0.7404787000268698,maximum,0.7896300000138581,8712.0,822,3,,0.05963070003781468,11039.0,651,9,,0.13288920000195503,9923.0,650,5,,0.35198039992246777,9511.0,756,3,
14,458,7590.0,0.7225338000571355,maximum,0.8088652999140322,8214.0,817,3,,0.06022740004118532,10486.0,641,9,,0.1381616999860853,9722.0,651,5,,0.34560170001350343,9366.0,748,3,
15,474,8496.0,0.7623249999014661,maximum,0.764751199982129,9152.0,839,3,,0.06056400004308671,11748.0,667,9,,0.134861099999398,10240.0,650,5,,0.3471564999781549,9905.0,742,3,
16,483,8113.0,0.7262509000720456,maximum,0.7651780999731272,8737.0,810,3,,0.06222859991248697,11157.0,671,9,,0.13490300008561462,10025.0,669,5,,0.3681942999828607,9689.0,794,3,
17,493,8710.0,0.8144671999616548,maximum,0.8052191999740899,9782.0,874,3,,0.06311660003848374,12355.0,669,9,,0.13915969990193844,10870.0,658,5,,0.35096900002099574,10406.0,784,3,
