matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,wfa_16_time,wfa_16_cycle,wfa_16_perms,wfa_16_planes,wfa_16_split,wfa_2_time,wfa_2_cycle,wfa_2_perms,wfa_2_planes,wfa_2_split,wfa_4_time,wfa_4_cycle,wfa_4_perms,wfa_4_planes,wfa_4_split,wfa_8_time,wfa_8_cycle,wfa_8_perms,wfa_8_planes,wfa_8_split
0,10037,11247.0,2.229726199992001,wfa,0.2670212000375613,11650.0,2215,3,,1.2019516000291333,13558.0,788,9,,0.0595578000647947,12471.0,1097,5,,0.1315781000303104,12242.0,1649,3,
1,11061,12644.0,1.9220958999940196,wfa,0.2911556999897584,13185.0,2401,3,,0.0227605999680235,14659.0,832,9,,0.0617622000863775,13983.0,1177,5,,0.1393279999028891,13417.0,1748,3,
2,10409,11838.0,1.943190499994671,wfa,0.2810116000473499,12270.0,2346,3,,0.0245825999882072,13635.0,821,9,,0.0647202000254765,12925.0,1176,5,,0.1409807000309229,12693.0,1768,3,
3,10251,11963.0,1.6333602000086105,wfa,0.3492062999866903,12313.0,2363,3,,0.0249906999524682,13058.0,819,9,,0.0638403000775724,12286.0,1149,5,,0.1429034000029787,12137.0,1750,3,
4,10526,11985.0,1.6729334999981802,wfa,0.2965162000618875,12228.0,2420,3,,0.0255541000515222,13712.0,824,9,,0.0665283999405801,12714.0,1167,5,,0.1369357000803575,12405.0,1712,3,
5,11330,12958.0,1.8197790999838617,wfa,0.2898448000196367,13305.0,2450,3,,0.023680500104092,14465.0,834,9,,0.0645300999749451,13907.0,1194,5,,0.1432691999943927,13676.0,1803,3,
6,10138,11385.0,1.736529399990104,wfa,0.2894128999905661,11858.0,2392,3,,0.0233619000064209,12796.0,802,9,,0.0648807999677956,12266.0,1160,5,,0.1379525000229478,12021.0,1722,3,
7,10499,11894.0,1.61710440000752,wfa,0.2803929999936372,12247.0,2358,3,,0.026386999990791,13556.0,803,9,,0.0636194000253453,12797.0,1152,5,,0.1368145999731496,12491.0,1695,3,
8,10523,11912.0,1.804545499995584,wfa,0.2739550999831408,12264.0,2332,3,,0.0227017999859526,13567.0,815,9,,0.0622511999681592,12717.0,1140,5,,0.1375629999674856,12453.0,1718,3,
9,11148,12704.0,1.6732819000026211,wfa,0.2832690000068396,13293.0,2386,3,,0.0236215000040829,14391.0,818,9,,0.0626236000098288,13824.0,1150,5,,0.1395122000249102,13184.0,1720,3,
10,10384,11891.0,1.6811045000213198,wfa,0.2862965000094846,12068.0,2391,3,,0.0243212000932544,12963.0,792,9,,0.0638189000310376,12338.0,1136,5,,0.1340965999988839,12122.0,1716,3,
11,10688,12023.0,1.675223300000653,wfa,0.2693590999115258,12319.0,2325,3,,0.0233681000536307,13691.0,804,9,,0.0621638000011444,12649.0,1133,5,,0.1407737000845372,12486.0,1706,3,
12,10520,11834.0,1.5599611999932677,wfa,0.2775832000188529,12197.0,2340,3,,0.023390999995172,13380.0,794,9,,0.0615068000042811,12469.0,1121,5,,0.1376262999838218,12209.0,1685,3,
13,10452,11696.0,1.6331529000017326,wfa,0.2807944000232965,12006.0,2358,3,,0.0241289999103173,13298.0,794,9,,0.0645664000185206,12326.0,1126,5,,0.1338819999946281,12107.0,1690,3,
14,9813,10985.0,1.5384097000060135,wfa,0.2721373999956995,11301.0,2206,3,,0.0227262999396771,12597.0,769,9,,0.0621469001052901,11956.0,1098,5,,0.1302137000020593,11540.0,1634,3,
15,10980,12457.0,1.647551400004886,wfa,0.2783223000587895,12854.0,2393,3,,0.0236834000097587,13831.0,810,9,,0.0689803999848663,13509.0,1163,5,,0.1402922999113798,13290.0,1758,3,
16,10428,11893.0,1.6861156999948437,wfa,0.2740687999175861,12260.0,2334,3,,0.0232562000164762,13364.0,823,9,,0.0636507000308483,12436.0,1151,5,,0.136922699981369,12034.0,1708,3,
17,10986,12582.0,1.7489895999897271,wfa,0.2891868000151589,13134.0,2455,3,,0.0241353999590501,14624.0,820,9,,0.0645235000411048,13815.0,1178,5,,0.1431295000948012,13219.0,1735,3,
18,10615,12051.0,1.7929035999986809,wfa,0.2770274999784305,12312.0,2346,3,,0.023824599920772,13740.0,816,9,,0.0633698999881744,12796.0,1159,5,,0.1370261999545619,12515.0,1741,3,
19,10617,12325.0,1.5758036999905016,wfa,0.2787690999684855,12511.0,2377,3,,0.0243887000251561,13328.0,796,9,,0.0639761000638827,12832.0,1140,5,,0.1385469000088051,12555.0,1677,3,
20,10654,11936.0,1.6734968000091612,wfa,0.2857230000663548,12334.0,2383,3,,0.0241218000883236,13814.0,808,9,,0.0637885999167338,13153.0,1152,5,,0.1394708000589162,13014.0,1699,3,
21,9931,11128.0,1.5557750999869313,wfa,0.2725576000520959,11560.0,2249,3,,0.0232631999533623,12376.0,781,9,,0.0608684999169781,12175.0,1099,5,,0.1280614999122917,11879.0,1623,3,
22,10444,11785.0,1.604492799990112,wfa,0.2745639999629929,12098.0,2299,3,,0.0222286999924108,13453.0,789,9,,0.0609927999321371,12867.0,1113,5,,0.133026499999687,12671.0,1713,3,
23,10342,11500.0,1.636640200013062,wfa,0.2859260999830439,12135.0,2377,3,,0.0234822999918833,13438.0,803,9,,0.0644843999762088,12946.0,1143,5,,0.1372852000640705,12490.0,1704,3,
