matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_max_16_time,heavy_max_16_cycle,heavy_max_16_perms,heavy_max_16_planes,heavy_max_16_split,heavy_max_2_time,heavy_max_2_cycle,heavy_max_2_perms,heavy_max_2_planes,heavy_max_2_split,heavy_max_4_time,heavy_max_4_cycle,heavy_max_4_perms,heavy_max_4_planes,heavy_max_4_split,heavy_max_8_time,heavy_max_8_cycle,heavy_max_8_perms,heavy_max_8_planes,heavy_max_8_split,heavy_median_16_time,heavy_median_16_cycle,heavy_median_16_perms,heavy_median_16_planes,heavy_median_16_split,heavy_median_2_time,heavy_median_2_cycle,heavy_median_2_perms,heavy_median_2_planes,heavy_median_2_split,heavy_median_4_time,heavy_median_4_cycle,heavy_median_4_perms,heavy_median_4_planes,heavy_median_4_split,heavy_median_8_time,heavy_median_8_cycle,heavy_median_8_perms,heavy_median_8_planes,heavy_median_8_split,heavy_min_16_time,heavy_min_16_cycle,heavy_min_16_perms,heavy_min_16_planes,heavy_min_16_split,heavy_min_2_time,heavy_min_2_cycle,heavy_min_2_perms,heavy_min_2_planes,heavy_min_2_split,heavy_min_4_time,heavy_min_4_cycle,heavy_min_4_perms,heavy_min_4_planes,heavy_min_4_split,heavy_min_8_time,heavy_min_8_cycle,heavy_min_8_perms,heavy_min_8_planes,heavy_min_8_split
0,0,,,,0.1068918999953894,10385.0,320,3,,0.10014169999340083,11164.0,636,9,,0.0581188999931328,10815.0,461,5,,0.08844359999056906,10719.0,365,3,,0.15005009999731556,9268.0,537,3,,0.025929900002665818,11164.0,636,9,,0.06320350000169128,9802.0,530,5,,0.10347650000767317,9456.0,503,3,,0.7649759000050835,8414.0,1410,3,,2.0796567000070354,11164.0,636,9,,0.13976790000742767,9738.0,867,5,,0.37470489999395795,9326.0,1150,3,
1,0,,,,0.11306289999629371,11629.0,330,3,,0.030595600008382462,12103.0,668,9,,0.06079610000597313,11915.0,476,5,,0.09066319999692496,11558.0,380,3,,0.17197360000864137,10306.0,546,3,,0.031427599999005906,12103.0,668,9,,0.066661099990597,11001.0,554,5,,0.10821170000417624,10425.0,536,3,,0.8714040000049863,9671.0,1446,3,,0.032378400006564334,12103.0,668,9,,0.14542190000065602,10831.0,915,5,,0.3952741999964928,10287.0,1200,3,
2,0,,,,0.11659840001084376,10658.0,325,3,,0.030010200003744103,11520.0,667,9,,0.06482040000264533,11042.0,473,5,,0.09344200001214631,11066.0,377,3,,0.16601600000285544,9557.0,545,3,,0.030530200005159713,11520.0,667,9,,0.06781120000232477,10260.0,553,5,,0.11608949999208562,9939.0,517,3,,0.8458370999869658,8914.0,1450,3,,0.02965930000937078,11520.0,667,9,,0.155630100009148,10178.0,913,5,,0.4023839000001317,9818.0,1214,3,
3,0,,,,0.11248599999817088,10514.0,329,3,,0.031238499999744818,11204.0,673,9,,0.06812609999906272,10807.0,474,5,,0.09075010000378825,10699.0,367,3,,0.15987789999053348,9326.0,532,3,,0.031534999987343326,11204.0,673,9,,0.0654147000022931,10010.0,553,5,,0.10525649999908637,9601.0,511,3,,0.8172484999959124,8670.0,1441,3,,0.03178249999473337,11204.0,673,9,,0.15025739998964127,9906.0,911,5,,0.4008696999953827,9566.0,1192,3,
4,0,,,,0.1114707999950042,10551.0,317,3,,0.03307100001256913,11210.0,668,9,,0.061390400005620904,10830.0,472,5,,0.08909579999453854,10785.0,369,3,,0.16702059999806806,9606.0,527,3,,0.03316619999532122,11210.0,668,9,,0.0665372999937972,10009.0,537,5,,0.11117499999818392,9764.0,505,3,,0.9389627999917138,8782.0,1415,3,,0.03241410000191536,11210.0,668,9,,0.15765880000253674,9994.0,905,5,,0.44824359999620356,9662.0,1165,3,
5,0,,,,0.10765220000757836,11704.0,326,3,,0.03080989999580197,12227.0,682,9,,0.06389399999170564,11940.0,485,5,,0.09182919999875594,11957.0,376,3,,0.1758374999917578,10388.0,553,3,,0.031198399999993853,12227.0,682,9,,0.07047469999815803,11159.0,575,5,,0.1172845000110101,10875.0,555,3,,0.8626536999945529,9611.0,1479,3,,0.030512600002111867,12227.0,682,9,,0.16620520000287797,10955.0,935,5,,0.45887230000516865,10587.0,1244,3,
6,0,,,,0.1435836000018753,10282.0,311,3,,0.03071089999866672,10823.0,653,9,,0.06597409999812953,10539.0,467,5,,0.08607720000145491,10528.0,363,3,,0.15834580000955611,9327.0,526,3,,0.031301900002290495,10823.0,653,9,,0.06777919999149162,9734.0,534,5,,0.10994590001064353,9594.0,507,3,,0.9690839000104461,8605.0,1430,3,,0.030961500000557862,10823.0,653,9,,0.1619113000051584,9649.0,905,5,,0.47119080000265967,9333.0,1208,3,
7,0,,,,0.11102669998945203,10648.0,314,3,,0.029294299994944595,11167.0,643,9,,0.06066020000434946,11096.0,468,5,,0.086642700000084,11064.0,370,3,,0.16650960000697523,9548.0,543,3,,0.028809700001147576,11167.0,643,9,,0.06292399999802001,10446.0,547,5,,0.10470660000282805,10245.0,526,3,,0.8374046999961138,8845.0,1417,3,,0.02831069999956526,11167.0,643,9,,0.14259930000116583,10369.0,892,5,,0.42465079999237787,10077.0,1205,3,
8,0,,,,0.11115890000655781,10932.0,323,3,,0.029739699995843694,11410.0,662,9,,0.06393380000372417,11334.0,482,5,,0.0879516999993939,11082.0,376,3,,0.1622975999925984,9659.0,502,3,,0.030968799997936003,11410.0,662,9,,0.0662704999995185,10350.0,543,5,,0.10780960001284257,10071.0,499,3,,0.9355080000095768,8802.0,1379,3,,0.030251099989982322,11410.0,662,9,,0.15726800000993535,10314.0,899,5,,0.42678130000422243,10002.0,1174,3,
9,0,,,,0.11491960000421386,11752.0,329,3,,0.03226709998853039,12445.0,681,9,,0.06767770000442397,11919.0,488,5,,0.0931121999892639,11833.0,373,3,,0.1734911999956239,10660.0,552,3,,0.03283869998995215,12445.0,681,9,,0.07734530000016093,11354.0,575,5,,0.1215066000004299,10930.0,596,3,,1.0286475000029895,9687.0,1463,3,,0.032369399996241555,12445.0,681,9,,0.16720510000595823,11175.0,938,5,,0.44598380000388715,10663.0,1262,3,
10,0,,,,0.11179780001111794,10338.0,316,3,,0.02934379999351222,10851.0,652,9,,0.061439299999619834,10657.0,464,5,,0.08816070000466425,10556.0,363,3,,0.16552199999568984,9389.0,517,3,,0.031043099996168166,10851.0,652,9,,0.06492829999479,9862.0,547,5,,0.1089776000007987,9521.0,509,3,,0.816178499997477,8629.0,1368,3,,0.02980560000287369,10851.0,652,9,,0.15035480000369716,9801.0,895,5,,0.3971750000055181,9461.0,1167,3,
11,0,,,,0.12850380000600126,10983.0,324,3,,0.030512900004396215,11505.0,660,9,,0.06627840000146534,11314.0,477,5,,0.09262699999089818,11282.0,376,3,,0.16754959999525454,10106.0,575,3,,0.03090909999446012,11505.0,660,9,,0.06998580000072252,10656.0,553,5,,0.1211911999998847,10559.0,551,3,,0.9348005999927409,9015.0,1419,3,,0.030446599994320422,11505.0,660,9,,0.15907080000033602,10367.0,904,5,,0.42744369999854825,10055.0,1225,3,
12,0,,,,0.11202229998889379,10698.0,323,3,,0.03662939999776427,11543.0,662,9,,0.06712039999547414,11119.0,472,5,,0.09105550000094809,11178.0,370,3,,0.15881999999692198,9745.0,521,3,,0.03272370000195224,11543.0,662,9,,0.06906430001254193,10150.0,552,5,,0.11499909999838565,9992.0,509,3,,0.8773895000049379,8901.0,1406,3,,0.031122400003368966,11543.0,662,9,,0.15398699999786913,10129.0,910,5,,0.4312919000076363,9813.0,1182,3,
