matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_static_max_16_time,heavy_static_max_16_cycle,heavy_static_max_16_perms,heavy_static_max_16_planes,heavy_static_max_16_split,heavy_static_max_2_time,heavy_static_max_2_cycle,heavy_static_max_2_perms,heavy_static_max_2_planes,heavy_static_max_2_split,heavy_static_max_4_time,heavy_static_max_4_cycle,heavy_static_max_4_perms,heavy_static_max_4_planes,heavy_static_max_4_split,heavy_static_max_8_time,heavy_static_max_8_cycle,heavy_static_max_8_perms,heavy_static_max_8_planes,heavy_static_max_8_split,heavy_static_median_16_time,heavy_static_median_16_cycle,heavy_static_median_16_perms,heavy_static_median_16_planes,heavy_static_median_16_split,heavy_static_median_2_time,heavy_static_median_2_cycle,heavy_static_median_2_perms,heavy_static_median_2_planes,heavy_static_median_2_split,heavy_static_median_4_time,heavy_static_median_4_cycle,heavy_static_median_4_perms,heavy_static_median_4_planes,heavy_static_median_4_split,heavy_static_median_8_time,heavy_static_median_8_cycle,heavy_static_median_8_perms,heavy_static_median_8_planes,heavy_static_median_8_split,heavy_static_min_16_time,heavy_static_min_16_cycle,heavy_static_min_16_perms,heavy_static_min_16_planes,heavy_static_min_16_split,heavy_static_min_2_time,heavy_static_min_2_cycle,heavy_static_min_2_perms,heavy_static_min_2_planes,heavy_static_min_2_split,heavy_static_min_4_time,heavy_static_min_4_cycle,heavy_static_min_4_perms,heavy_static_min_4_planes,heavy_static_min_4_split,heavy_static_min_8_time,heavy_static_min_8_cycle,heavy_static_min_8_perms,heavy_static_min_8_planes,heavy_static_min_8_split
0,0,,,,0.028183200003695674,10493.0,320,3,,0.09104239998850971,11164.0,636,9,,0.031800500000827014,10869.0,461,5,,0.026944500001263805,10727.0,365,3,,0.060829999987618066,11047.0,576,3,,0.016314300009980798,11164.0,636,9,,0.029814699999406002,10169.0,560,5,,0.05431690000114031,10719.0,588,3,,0.21427240000048187,8414.0,1739,3,,1.9636138999921968,11164.0,636,9,,0.05145749999792315,9738.0,881,5,,0.11990890000015497,9326.0,1322,3,
1,0,,,,0.029894000006606802,11700.0,330,3,,0.019625100001576357,12103.0,668,9,,0.024623700010124594,11876.0,476,5,,0.03361490000679623,11712.0,380,3,,0.07382730000244919,12497.0,603,3,,0.019230700010666624,12103.0,668,9,,0.031209100008709356,11232.0,584,5,,0.06419289999757893,11684.0,631,3,,0.24941209999087732,9671.0,1857,3,,0.019349100010003895,12103.0,668,9,,0.05313219998788554,10831.0,933,5,,0.12703570000303444,10287.0,1394,3,
2,0,,,,0.031526300008408725,10809.0,325,3,,0.016994399993564002,11520.0,667,9,,0.027097099999082275,11225.0,473,5,,0.02941149999969639,11044.0,377,3,,0.06490870000561699,11309.0,564,3,,0.017115099995862693,11520.0,667,9,,0.03491589998884592,10577.0,583,5,,0.05911129999731202,10946.0,602,3,,0.23542230000020936,8914.0,1816,3,,0.01682970000547357,11520.0,667,9,,0.05702910000400152,10178.0,934,5,,0.11503889999585226,9818.0,1395,3,
3,0,,,,0.030061699988436885,10717.0,329,3,,0.01632409999729134,11140.0,672,9,,0.027154399998835288,10826.0,474,5,,0.028744299997924827,10607.0,367,3,,0.05897330000880174,11189.0,576,3,,0.019432000000961125,11140.0,672,9,,0.03365309999207966,10261.0,576,5,,0.06006150000030175,10910.0,626,3,,0.23413780001283158,8670.0,1825,3,,0.019708099993295036,11140.0,672,9,,0.05286699999123812,9906.0,926,5,,0.11819480000121985,9566.0,1380,3,
4,0,,,,0.029988299997057766,10703.0,317,3,,0.020644300006097183,11210.0,668,9,,0.026173600010224618,10794.0,471,5,,0.026698200003011152,10770.0,369,3,,0.07275219999428373,11386.0,573,3,,0.020701800007373095,11210.0,668,9,,0.031698699996923096,10296.0,565,5,,0.0657150999904843,10918.0,609,3,,0.2761859000020195,8782.0,1840,3,,0.026737199994386174,11210.0,668,9,,0.05994669999927282,9994.0,922,5,,0.1406522000033874,9662.0,1340,3,
5,0,,,,0.0270643999974709,11898.0,326,3,,0.01829839999845717,12227.0,682,9,,0.025981899991165847,12119.0,485,5,,0.025766100006876513,11940.0,376,3,,0.06547390000196174,12382.0,575,3,,0.018427600007271394,12227.0,682,9,,0.034490200006985106,11649.0,611,5,,0.06027430000540335,11683.0,604,3,,0.2557675999996718,9611.0,1892,3,,0.01877510000485927,12227.0,682,9,,0.0619382000004407,10955.0,945,5,,0.13701730000320822,10587.0,1418,3,
6,0,,,,0.026726000010967255,10280.0,311,3,,0.018180500002927147,10823.0,653,9,,0.027819900002214126,10718.0,467,5,,0.027002700007869862,10534.0,363,3,,0.0660109000018565,10855.0,556,3,,0.01912310000625439,10823.0,653,9,,0.03180359999532811,10109.0,569,5,,0.06134369999927003,10597.0,610,3,,0.26827509999566246,8605.0,1839,3,,0.019657299999380484,10823.0,653,9,,0.061862100003054366,9585.0,918,5,,0.15811300001223572,9397.0,1377,3,
7,0,,,,0.02717869999469258,10786.0,314,3,,0.01791350000712555,11167.0,643,9,,0.024154400001862086,11037.0,468,5,,0.026451199999428354,11161.0,370,3,,0.05771360000653658,11058.0,541,3,,0.017670800007181242,11167.0,643,9,,0.030160299997078255,10805.0,569,5,,0.06301369999710005,11212.0,606,3,,0.22945490000711288,8829.0,1786,3,,0.01741329999640584,11167.0,643,9,,0.052218600001651794,10369.0,905,5,,0.12356930000532884,10077.0,1343,3,
8,0,,,,0.028758400003425777,10695.0,323,3,,0.02001890000246931,11410.0,662,9,,0.028488899988587946,11457.0,482,5,,0.026664899996831082,11133.0,376,3,,0.07440840000344906,11455.0,567,3,,0.019686200001160614,11410.0,662,9,,0.032257400001981296,10717.0,587,5,,0.06287650000012945,11197.0,591,3,,0.2734102999966126,8802.0,1761,3,,0.02011579999816604,11410.0,662,9,,0.06087410000327509,10314.0,908,5,,0.1353205000050366,10002.0,1343,3,
9,0,,,,0.031183300001430325,11695.0,329,3,,0.02083580000908114,12445.0,681,9,,0.028890899993712083,12010.0,488,5,,0.028516999998828396,11827.0,373,3,,0.08713420000276528,12208.0,576,3,,0.02063780000025872,12445.0,681,9,,0.035342899995157495,11789.0,611,5,,0.06398530000296887,11758.0,618,3,,0.29635899999993853,9687.0,1867,3,,0.020672000013291836,12445.0,681,9,,0.06817700000829063,11175.0,949,5,,0.13973819999955595,10663.0,1429,3,
10,0,,,,0.025760199991054833,10499.0,316,3,,0.017305200002738275,10851.0,652,9,,0.023901499997009523,10608.0,464,5,,0.02474649999930989,10528.0,363,3,,0.05987160000950098,11256.0,557,3,,0.01843650000228081,10851.0,652,9,,0.029867300007026643,10216.0,574,5,,0.0688285999931395,10859.0,596,3,,0.23078769999847282,8629.0,1811,3,,0.018154200006392784,10851.0,652,9,,0.056258800002979115,9801.0,909,5,,0.11857979999331292,9461.0,1332,3,
11,0,,,,0.02752769998915028,11053.0,324,3,,0.01850469999772031,11505.0,660,9,,0.028112999993027188,11436.0,477,5,,0.03074899999774061,11197.0,376,3,,0.07159900000260677,11676.0,575,3,,0.021196000001509674,11505.0,660,9,,0.03410319999966305,11101.0,590,5,,0.06377360000624321,11449.0,626,3,,0.260370599993621,9015.0,1786,3,,0.01979890000075102,11505.0,660,9,,0.06516959999862593,10367.0,922,5,,0.13328049999836367,10055.0,1376,3,
