matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_max_16_time,maximum_max_16_cycle,maximum_max_16_perms,maximum_max_16_planes,maximum_max_16_split,maximum_max_2_time,maximum_max_2_cycle,maximum_max_2_perms,maximum_max_2_planes,maximum_max_2_split,maximum_max_4_time,maximum_max_4_cycle,maximum_max_4_perms,maximum_max_4_planes,maximum_max_4_split,maximum_max_8_time,maximum_max_8_cycle,maximum_max_8_perms,maximum_max_8_planes,maximum_max_8_split,maximum_median_16_time,maximum_median_16_cycle,maximum_median_16_perms,maximum_median_16_planes,maximum_median_16_split,maximum_median_2_time,maximum_median_2_cycle,maximum_median_2_perms,maximum_median_2_planes,maximum_median_2_split,maximum_median_4_time,maximum_median_4_cycle,maximum_median_4_perms,maximum_median_4_planes,maximum_median_4_split,maximum_median_8_time,maximum_median_8_cycle,maximum_median_8_perms,maximum_median_8_planes,maximum_median_8_split,maximum_min_16_time,maximum_min_16_cycle,maximum_min_16_perms,maximum_min_16_planes,maximum_min_16_split,maximum_min_2_time,maximum_min_2_cycle,maximum_min_2_perms,maximum_min_2_planes,maximum_min_2_split,maximum_min_4_time,maximum_min_4_cycle,maximum_min_4_perms,maximum_min_4_planes,maximum_min_4_split,maximum_min_8_time,maximum_min_8_cycle,maximum_min_8_perms,maximum_min_8_planes,maximum_min_8_split
0,469,7790.0,0.7117129000107525,maximum,0.2309497999958694,10201.0,320,3,,0.057161200005793944,11164.0,636,9,,0.09219090000260621,10723.0,461,5,,0.1631591000041226,10570.0,365,3,,0.3163170000043465,8648.0,544,3,,0.06982849999621976,11164.0,636,9,,0.1068883999978425,9802.0,544,5,,0.19159449999278877,9327.0,510,3,,0.673648800002411,8526.0,839,3,,0.07391600000846665,11164.0,636,9,,0.15286480000941083,9738.0,643,5,,0.28845069999806583,9326.0,746,3,
1,488,8743.0,0.7741187000065111,maximum,0.2981861000007484,11487.0,330,3,,0.05887520000396762,12111.0,669,9,,0.11236089999147225,11738.0,476,5,,0.22210509999422356,11375.0,380,3,,0.35476410000410397,9879.0,542,3,,0.07441190000099596,12111.0,669,9,,0.12140580000414047,10831.0,556,5,,0.261562400002731,10295.0,539,3,,0.8778106999961892,9671.0,860,3,,0.07490749999124091,12111.0,669,9,,0.13780940001015551,10831.0,655,5,,0.39836279999872204,10287.0,781,3,
2,478,8178.0,0.88211059999594,maximum,0.24117649999971036,10587.0,325,3,,0.0799890000052983,11520.0,667,9,,0.12717930000508204,10912.0,476,5,,0.23416769999312237,10800.0,377,3,,0.3430021000094712,9173.0,573,3,,0.08251760000712238,11520.0,667,9,,0.14199059999373276,10180.0,566,5,,0.271448400002555,9821.0,535,3,,0.9164999999920838,8914.0,910,3,,0.0795285999920452,11520.0,667,9,,0.15727330000663642,10178.0,674,5,,0.41628299999865703,9818.0,787,3,
3,474,7950.0,0.8069344999967143,maximum,0.2790517999965232,10341.0,329,3,,0.07835579999664333,11140.0,672,9,,0.12848379999923054,10627.0,474,5,,0.22655499998654705,10435.0,367,3,,0.41136870000627823,8895.0,555,3,,0.07909830000426155,11140.0,672,9,,0.14135810000880156,9922.0,568,5,,0.26508900000771973,9574.0,531,3,,0.8903673000022536,8670.0,897,3,,0.07900279999012128,11140.0,672,9,,0.16650930000469089,9922.0,674,5,,0.3850451000034809,9566.0,772,3,
4,488,8126.0,0.8448052000021562,maximum,0.23957269999664277,10349.0,317,3,,0.07203630000003614,11210.0,668,9,,0.09141269999963697,10619.0,473,5,,0.17576399999961723,10615.0,369,3,,0.30034190000151284,8934.0,493,3,,0.0782065999956103,11210.0,668,9,,0.10512540000490844,9996.0,549,5,,0.1958260999963386,9662.0,507,3,,0.7241882999951486,8782.0,834,3,,0.07458340001176111,11210.0,668,9,,0.1313945000001695,10026.0,653,5,,0.36742759999469854,9742.0,768,3,
5,486,8907.0,0.6899646000092616,maximum,0.23403269999835175,11542.0,326,3,,0.055208799996762536,12227.0,682,9,,0.09329040000739042,11713.0,485,5,,0.18916539999190718,11660.0,376,3,,0.3404226999991806,9852.0,553,3,,0.05823670000245329,12227.0,682,9,,0.10401680000359192,10956.0,568,5,,0.2166673999890918,10587.0,546,3,,0.7192953000048874,9611.0,874,3,,0.0541603000019677,12227.0,682,9,,0.1227630999928806,10955.0,672,5,,0.31066180000198074,10587.0,779,3,
6,473,7901.0,0.708822800006601,maximum,0.23513480000838172,10172.0,311,3,,0.06130650000704918,10823.0,653,9,,0.11380030000873376,10510.0,469,5,,0.1814831000083359,10302.0,363,3,,0.3319472000002861,8902.0,541,3,,0.05936110000766348,10823.0,653,9,,0.10480200000165496,9716.0,548,5,,0.22057059999497142,9462.0,534,3,,0.7727853000105824,8605.0,862,3,,0.05679059999238234,10823.0,653,9,,0.14826100000937004,9593.0,651,5,,0.3272980999900028,9333.0,752,3,
7,475,8173.0,0.6913415000017267,maximum,0.22016859998984728,10548.0,315,3,,0.056241000012960285,11167.0,643,9,,0.08913940000638831,10890.0,468,5,,0.17285680001077708,10823.0,370,3,,0.31277720000070985,9120.0,514,3,,0.06418579998717178,11167.0,643,9,,0.10354720000759698,10373.0,547,5,,0.1983582000102615,10077.0,517,3,,0.7276356999936979,8829.0,839,3,,0.05252959999779705,11167.0,643,9,,0.12156090000644326,10561.0,668,5,,0.3219712999998592,10077.0,776,3,
8,478,8178.0,0.7005618999974104,maximum,0.23204149999946821,10550.0,324,3,,0.05306280001241248,11410.0,662,9,,0.10119840000697877,11053.0,482,5,,0.17969660001108423,10897.0,376,3,,0.3260459000011906,9031.5,493,3,,0.06374689999211114,11410.0,662,9,,0.1110196000081487,10314.0,558,5,,0.21017329998721834,10002.0,514,3,,0.7580681000108598,8802.0,814,3,,0.05380429999786429,11410.0,662,9,,0.13182319999032188,10314.0,652,5,,0.33199920000333805,10002.0,753,3,
9,482,8759.0,0.7146257999993395,maximum,0.28749170000082813,11552.0,329,3,,0.07243699999526143,12701.0,683,9,,0.10379520000424236,11765.0,488,5,,0.19202000000223052,11673.0,374,3,,0.39144589999341406,9943.0,533,3,,0.0618454999930691,12701.0,683,9,,0.11961389999487437,11175.0,577,5,,0.2284497999935411,10663.0,591,3,,0.7992295000003651,9703.0,874,3,,0.06728109999676235,12701.0,683,9,,0.14057069999398664,11303.0,692,5,,0.3495288999984041,10791.0,835,3,
