matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,wfa_max_16_time,wfa_max_16_cycle,wfa_max_16_perms,wfa_max_16_planes,wfa_max_16_split,wfa_max_2_time,wfa_max_2_cycle,wfa_max_2_perms,wfa_max_2_planes,wfa_max_2_split,wfa_max_4_time,wfa_max_4_cycle,wfa_max_4_perms,wfa_max_4_planes,wfa_max_4_split,wfa_max_8_time,wfa_max_8_cycle,wfa_max_8_perms,wfa_max_8_planes,wfa_max_8_split,wfa_median_16_time,wfa_median_16_cycle,wfa_median_16_perms,wfa_median_16_planes,wfa_median_16_split,wfa_median_2_time,wfa_median_2_cycle,wfa_median_2_perms,wfa_median_2_planes,wfa_median_2_split,wfa_median_4_time,wfa_median_4_cycle,wfa_median_4_perms,wfa_median_4_planes,wfa_median_4_split,wfa_median_8_time,wfa_median_8_cycle,wfa_median_8_perms,wfa_median_8_planes,wfa_median_8_split,wfa_min_16_time,wfa_min_16_cycle,wfa_min_16_perms,wfa_min_16_planes,wfa_min_16_split,wfa_min_2_time,wfa_min_2_cycle,wfa_min_2_perms,wfa_min_2_planes,wfa_min_2_split,wfa_min_4_time,wfa_min_4_cycle,wfa_min_4_perms,wfa_min_4_planes,wfa_min_4_split,wfa_min_8_time,wfa_min_8_cycle,wfa_min_8_perms,wfa_min_8_planes,wfa_min_8_split
0,0,,,,0.0357330999977421,36346.0,428,3,,0.021980399993481115,13558.0,788,9,,0.029487000007065944,21510.0,595,5,,0.035413099991274066,22692.0,475,3,,0.06516650000412483,14065.0,748,3,,0.022890800013556145,13558.0,788,9,,0.04372960000182502,13988.0,835,5,,0.057858000000123866,14151.0,769,3,,0.2789794999989681,11650.0,2215,3,,1.0986685999960173,13558.0,788,9,,0.05796760000521317,12471.0,1097,5,,0.12744609999936074,12242.0,1649,3,
1,0,,,,0.03626240001176484,40396.0,426,3,,0.08121930000197608,14659.0,832,9,,0.031461999999010004,24542.0,618,5,,0.04413650000060443,26667.0,488,3,,0.09771999999065883,16732.0,728,3,,0.022936299996217713,14659.0,832,9,,0.05308389999845531,15810.0,864,5,,0.0749160999985179,15488.0,804,3,,0.2795417999877827,13185.0,2401,3,,0.02384219999657944,14659.0,832,9,,0.06686279999848921,13983.0,1177,5,,0.14366159999917727,13417.0,1748,3,
2,0,,,,0.03308959999412764,36920.0,412,3,,0.023482000004150905,13635.0,821,9,,0.03125150001142174,22591.0,607,5,,0.03637719999824185,24192.0,478,3,,0.0712169000034919,14957.0,719,3,,0.02389949999633245,13635.0,821,9,,0.045221699998364784,14596.0,864,5,,0.07383779999508988,14678.0,791,3,,0.27581380000628997,12270.0,2346,3,,0.0230775999953039,13635.0,821,9,,0.06365650000225287,12925.0,1176,5,,0.1398314000107348,12693.0,1768,3,
3,0,,,,0.03719940000155475,37179.0,432,3,,0.022905600009835325,13058.0,819,9,,0.03158070000063162,22088.0,619,5,,0.03492629999527708,23717.0,491,3,,0.09533459998783655,14936.0,767,3,,0.02395729999989271,13058.0,819,9,,0.04612129999441095,13873.0,871,5,,0.06065909999597352,14157.0,796,3,,0.28240499999083113,12313.0,2363,3,,0.02339610000490211,13058.0,819,9,,0.060678900001221336,12286.0,1149,5,,0.1359214999974938,12137.0,1750,3,
4,0,,,,0.03370679999352433,38600.0,426,3,,0.023068399998010136,13712.0,824,9,,0.03171660000225529,22746.0,614,5,,0.033893599989824,24654.0,487,3,,0.0858421000011731,14835.0,756,3,,0.023884199996246025,13712.0,824,9,,0.04531970000243746,14121.0,853,5,,0.06257449999975506,14515.0,791,3,,0.29232749999209773,12228.0,2420,3,,0.022939400005270727,13712.0,824,9,,0.06433819999801926,12714.0,1167,5,,0.13482910000311676,12405.0,1712,3,
5,0,,,,0.034793400001944974,40600.0,430,3,,0.02415879999171011,14465.0,834,9,,0.0313462000049185,24719.0,619,5,,0.048579499998595566,27124.0,498,3,,0.06181119999382645,16664.0,720,3,,0.02392919998965226,14465.0,834,9,,0.046792099994490854,15593.0,879,5,,0.06359079999674577,15711.0,818,3,,0.2992402999952901,13305.0,2450,3,,0.02346959999704268,14465.0,834,9,,0.06510330000310205,13907.0,1194,5,,0.14383610000368208,13676.0,1803,3,
6,0,,,,0.032252100005280226,36019.0,408,3,,0.022838000004412606,12796.0,802,9,,0.03124849998857826,21411.0,594,5,,0.03199499999755062,23144.0,467,3,,0.06947230000514537,14447.0,721,3,,0.0231738000002224,12796.0,802,9,,0.045213899997179396,13897.0,839,5,,0.06170030000794213,14106.0,787,3,,0.2906671999953687,11858.0,2392,3,,0.023439099997631274,12796.0,802,9,,0.0650383000029251,12266.0,1160,5,,0.13900349999312311,12021.0,1722,3,
7,0,,,,0.03650409998954274,37376.0,413,3,,0.022957199995289557,13556.0,803,9,,0.031405400004587136,22761.0,601,5,,0.032275199992000125,25252.0,484,3,,0.0788827000069432,15271.0,708,3,,0.023259000008692965,13556.0,803,9,,0.04407570000330452,14476.0,837,5,,0.06216159999894444,14599.0,779,3,,0.2790226000070106,12247.0,2358,3,,0.022533399998792447,13556.0,803,9,,0.06211290000646841,12797.0,1152,5,,0.1352275999961421,12491.0,1695,3,
8,0,,,,0.03451879999192897,38738.0,431,3,,0.022617800001171418,13567.0,815,9,,0.03160220000427216,22493.0,605,5,,0.03818809999211226,24595.0,484,3,,0.09178270000847988,15229.0,742,3,,0.02357839999604039,13567.0,815,9,,0.04679950000718236,14471.0,865,5,,0.06127659999765456,14442.0,784,3,,0.29203870000492316,12264.0,2332,3,,0.022637200003373437,13567.0,815,9,,0.06197530000645202,12717.0,1140,5,,0.14005159999942407,12453.0,1718,3,
9,0,,,,0.03432609999435954,40134.0,423,3,,0.023455999995348975,14391.0,818,9,,0.03086099999200087,24431.0,607,5,,0.031468600005609915,26059.0,478,3,,0.07982109999284148,16482.0,711,3,,0.02377379999961704,14391.0,818,9,,0.046687499998370185,15424.0,866,5,,0.06187919998774305,15120.0,778,3,,0.28419690000009723,13293.0,2386,3,,0.02286199999798555,14391.0,818,9,,0.06371110001055058,13824.0,1150,5,,0.14028000000689644,13184.0,1720,3,
