matrix,engine,framework,ttfp_ms
0,Hungarian,BvN,0.7781000022077933
0,Hungarian,Radix B2,2.7350999880582094
0,Hungarian,Radix B4,1.531400004751049
0,Hungarian,Radix B8,1.254899994819425
0,Hungarian,Radix B16,1.0525000107008964
0,Hungarian,Euler d1,17.859200001112185
0,Hungarian,Euler d2,28.601299985894002
0,Hungarian,Euler d3,33.02929998608306
0,Hungarian,Euler d4,31.649399985326454
0,WFA,BvN,0.09800000407267362
0,WFA,Radix B2,2.4235000018961728
0,WFA,Radix B4,1.2836999958381057
0,WFA,Radix B8,0.8968999900389463
0,WFA,Radix B16,0.7342999888351187
0,WFA,Euler d1,14.992000011261553
0,WFA,Euler d2,24.518599995644763
0,WFA,Euler d3,29.206399995018728
0,WFA,Euler d4,31.896400018013082
0,GW (dyn=stat),BvN,1.220100006321445
0,GW (dyn=stat),Radix B2,2.4622999917482957
0,GW (dyn=stat),Radix B4,1.4960999978939071
0,GW (dyn=stat),Radix B8,1.2095999991288409
0,GW (dyn=stat),Radix B16,0.9637000039219856
0,GW (dyn=stat),Euler d1,15.781599999172613
0,GW (dyn=stat),Euler d2,24.854700022842735
0,GW (dyn=stat),Euler d3,29.559199989307672
0,GW (dyn=stat),Euler d4,33.67489999800455
1,Hungarian,BvN,0.9870000067166984
1,Hungarian,Radix B2,2.4227000103564933
1,Hungarian,Radix B4,1.3827000075252727
1,Hungarian,Radix B8,1.0556000052019954
1,Hungarian,Radix B16,0.8161000005202368
1,Hungarian,Euler d1,17.983999990974553
1,Hungarian,Euler d2,27.258300004177727
1,Hungarian,Euler d3,33.12839999853168
1,Hungarian,Euler d4,35.036300017964095
1,WFA,BvN,0.0909000082174316
1,WFA,Radix B2,2.369800000451505
1,WFA,Radix B4,1.353300001937896
1,WFA,Radix B8,0.8114000083878636
1,WFA,Radix B16,0.9080000018002465
1,WFA,Euler d1,16.874499997356907
1,WFA,Euler d2,26.50389999325853
1,WFA,Euler d3,32.808500007377006
1,WFA,Euler d4,37.01299997919705
1,GW (dyn=stat),BvN,1.2214000016683713
1,GW (dyn=stat),Radix B2,2.542900008847937
1,GW (dyn=stat),Radix B4,1.4277000009315088
1,GW (dyn=stat),Radix B8,1.305600002524443
1,GW (dyn=stat),Radix B16,1.0086999973282218
1,GW (dyn=stat),Euler d1,18.85059999767691
1,GW (dyn=stat),Euler d2,31.609400000888854
1,GW (dyn=stat),Euler d3,41.538299978128634
1,GW (dyn=stat),Euler d4,42.55749998264946
2,Hungarian,BvN,1.1821000080090016
2,Hungarian,Radix B2,3.0759999935980886
2,Hungarian,Radix B4,1.6485000087413937
2,Hungarian,Radix B8,1.436099992133677
2,Hungarian,Radix B16,1.021999996737577
2,Hungarian,Euler d1,21.569800010183826
2,Hungarian,Euler d2,32.32810001645703
2,Hungarian,Euler d3,38.49239999544807
2,Hungarian,Euler d4,41.76890001690481
2,WFA,BvN,0.11490000179037452
2,WFA,Radix B2,2.918800004408695
2,WFA,Radix B4,1.4399999927263707
2,WFA,Radix B8,1.0445999796502292
2,WFA,Radix B16,0.8367000118596479
2,WFA,Euler d1,19.888200011337176
2,WFA,Euler d2,31.74260001105722
2,WFA,Euler d3,38.20150002138689
2,WFA,Euler d4,45.421600007102825
2,GW (dyn=stat),BvN,1.5444000018760562
2,GW (dyn=stat),Radix B2,3.060199989704415
2,GW (dyn=stat),Radix B4,1.8534999981056899
2,GW (dyn=stat),Radix B8,1.609899991308339
2,GW (dyn=stat),Radix B16,1.1452000035205856
2,GW (dyn=stat),Euler d1,20.197399993776344
2,GW (dyn=stat),Euler d2,31.31730000313837
2,GW (dyn=stat),Euler d3,37.98270001425408
2,GW (dyn=stat),Euler d4,42.18669998226687
3,Hungarian,BvN,1.3266000023577362
3,Hungarian,Radix B2,3.02759998885449
